trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-1564.76391734709	-1241.35849240135	-323.405424945744	0.309350598741644	0.322685183644094	0.278322710427265	0.0896415071869959	4.50482952582526	0.000379095474765771	4.73094687371185	52.3402186546834	212.51292975087	-1241.35849240135
stderr.of.mean	0.928991632720853	0.141097491437333	0.950001397741938	0.000442778872599245	0.000438223871091832	0.000410177593344123	0.000271060639881097	0.0309969754916696	2.02429672900719e-06	0.0369425528300976	0.152618480640116	0.902046093063807	0.141097491437333
stdev	23.0519625380896	4.8825811663298	23.1346456487978	0.0178883098609677	0.0179017976291494	0.0167640218809412	0.0107972093948269	1.19787406566914	6.75852705441732e-05	0.95495674247348	5.23445611614118	23.6949837033421	4.8825811663298
variance	531.392976857487	23.8395988457985	535.211829295439	0.000319991629681996	0.000320474358355018	0.000281032429624676	0.000116579730715738	1.43490227720273	4.56776879452909e-09	0.911942379995561	27.3995308318078	561.452252701646	23.8395988457985
median	-1563.76439885479	-1240.99810901101	-322.489230846438	0.30911360634222	0.323077415847777	0.278498664242072	0.0892291099253565	4.36546151038612	0.000372812636577193	4.61004520371792	51.1336845024124	209.743553203113	-1240.99810901101
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.308833190431809	0.322187019758257	0.27781685809842	0.0889907038813161	4.35414313224886	0.000373210387093496	4.63821890824029	52.0963912106981	211.236486654523	NaN
HPD95.lower	-1610.16807892593	-1251.81533990094	-370.886482501858	0.275665207594947	0.287752769879079	0.243551859812484	0.0692419245430342	2.40084216106389	0.000260865136769765	3.10506487022406	46.0070318869729	165.803106843724	-1251.81533990094
HPD95.upper	-1521.3099101743	-1232.2287559632	-280.200610416565	0.346070288201633	0.356743064072	0.30844990552371	0.110805150305066	6.87835157908843	0.000520865400126125	6.76150989718639	62.81288798663	255.816846493216	-1232.2287559632
ACT	58466.9126161851	30063.6708976096	60705.0961870221	22056.5472583619	21572.5329936425	21552.109945566	22688.837117082	24105.6408513461	32295.8411424679	53875.1849454453	30603.6686951742	52173.1427071468	30063.6708976096
ESS	616.074945438949	1198.12381271324	593.360397437284	1633.07518525341	1669.71583775606	1671.29808130041	1587.56483702205	1494.256063223	1115.31388332955	668.582391623794	1176.98307215304	690.393526841654	1198.12381271324
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
