trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-4265.49414911363	-3550.51730699944	-714.976842114191	0.299288082660861	0.135447531796422	0.348826295203555	0.216438090339165	3.94519428918563	0.00046606322967679	97.4573639911018	249.207688885999	1496.9619006945	-3550.51730699944
stderr.of.mean	0.58087331036217	0.166100332289699	0.564314734578539	0.000336362666043498	0.00023585574122858	0.000374777840614109	0.000314686056090264	0.0104103218728052	2.02744037847116e-06	0.471562006588658	1.15274630227813	6.19032521215524	0.166100332289699
stdev	14.9180040294174	7.04703919165679	13.4655186011559	0.0139208957007721	0.0100065100960556	0.0149456109448377	0.0133509965920371	0.423837184238214	4.55902066669574e-05	13.1438944290567	29.8612358368683	131.799464337224	7.04703919165679
variance	222.546844221714	49.6607613687467	181.320191198075	0.000193791337111776	0.000100130244302463	0.000223371286514453	0.000178249110000587	0.179637958742978	2.07846694393589e-09	172.761960762188	891.693405705065	17371.0987995793	49.6607613687467
median	-4264.51000927801	-3550.0416422048	-714.599413282785	0.299404150271802	0.135436351735658	0.349023329652234	0.216301792909676	3.91891213554678	0.000463810216239461	96.2746806732907	247.301534681099	1487.85011988707	-3550.0416422048
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.298963941629779	0.135076460747835	0.348505330870313	0.216026164327245	3.9227043505639	0.000463829673893607	96.5893069090838	247.457499570899	1491.26057747468	NaN
HPD95.lower	-4293.68657515645	-3563.97229452615	-738.546485440239	0.272103064311757	0.115736862328995	0.321046518495029	0.188856948050933	3.08222397004176	0.00038369294100674	71.6304982321212	194.914340391219	1257.45093296712	-3563.97229452615
HPD95.upper	-4235.6136940056	-3536.59458204312	-687.151554413028	0.326043381179073	0.155597428573318	0.377856646104369	0.240537812512352	4.76854320802571	0.000561721818066108	122.93793369198	308.677366152789	1754.10462849453	-3536.59458204312
ACT	54581.2868761066	20000	63226.4762890015	21017.6221263461	20000	22637.2063822854	20000	21718.6371798645	71195.972751237	46337.4207608059	53648.092804315	79414.902563046	20000
ESS	659.933139388256	1801	569.698046042554	1713.79996193043	1801	1591.18574048904	1801	1658.48343529558	505.927492919523	777.341496539816	671.412497950028	453.567263038627	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
