trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-9372.40219836317	-9016.1062675082	-356.295930854978	0.22942198623247	0.0675466293706231	0.414275912553372	0.288755471843533	2.46422784708425	0.0101231611285458	6.05113887225226	49.1325394106699	240.529868820345	-9016.1062675082
stderr.of.mean	0.283980065769291	0.214216343248891	0.208400568441918	0.000205414952576624	0.000117157850343516	0.000289528181890455	0.000253567736479479	0.00341239836364853	1.18703363946025e-05	0.0165643884623645	0.0498039168112964	0.244357149583107	0.214216343248891
stdev	10.039155088664	8.16329102526529	6.01400109300546	0.0087150170105323	0.00497058585976244	0.0110901968648688	0.0107579662971054	0.140346433414382	0.000400665552177873	0.612980048845504	1.52558402917321	6.87824786128072	8.16329102526529
variance	100.784634894248	66.6393203631768	36.1682091466708	7.59515214938673e-05	2.47067237892703e-05	0.000122992466501545	0.000115733838849657	0.0196971213721376	1.60532884702e-07	0.375744540282636	2.32740663006836	47.3102936412128	66.6393203631768
median	-9372.28554320538	-9015.64163858478	-356.240270591005	0.229404799445976	0.0672619268239721	0.414375732689196	0.288511563129973	2.46409129291454	0.0100980442162354	5.99990725551018	49.1921643061468	240.752632301033	-9015.64163858478
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.229256318795467	0.0673647927163973	0.414127545182478	0.288554544703675	2.46023545621553	0.0101152642798865	6.02074035751798	49.1088381675575	240.431228369088	NaN
HPD95.lower	-9391.60871644101	-9031.68388868191	-367.862169328306	0.211976919938244	0.057967717374809	0.391745651267684	0.267504449678746	2.19561927476719	0.00935533254240681	4.97905740646689	46.0292637176406	226.049849005186	-9031.68388868191
HPD95.upper	-9353.3123812585	-9000.840193919	-344.001854169551	0.245400030062793	0.0771407923694558	0.435421762320221	0.309903704101617	2.74156578142366	0.0108930261956133	7.29676554102267	51.5892543679234	252.723451209071	-9000.840193919
ACT	28806.0526899784	24790.0276122326	43228.7979884242	20000	20000	24536.1005137033	20000	21282.3242552783	31598.350357706	26288.178901205	38366.9342335412	45435.6582256365	24790.0276122326
ESS	1250.43165016953	1453.00362562831	833.240841201402	1801	1801	1468.0409374702	1801	1692.48431552614	1139.9329266319	1370.19761373995	938.829247621004	792.769410781336	1453.00362562831
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
