trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-12357.2033134336	-11769.7419640227	-587.461349410884	0.156516661361221	0.508730186298484	0.131345097165877	0.203408055174418	2.45675378413544	0.00529460437764626	36.4861427305679	69.936022287112	642.986916532619	-11769.7419640227
stderr.of.mean	0.276992364601206	0.202520785159638	0.194890020864123	0.000175733389194106	0.00024114447656829	0.000154566978738537	0.000194998982811736	0.00304774797846686	6.26276980121132e-06	0.094794461730495	0.0677998886403973	0.662669182870643	0.202520785159638
stdev	9.92974558006018	8.49718123289703	5.72929110403656	0.00726432907326593	0.0102308920987854	0.00648892440878722	0.00761915027948193	0.123390105588172	0.000197293213781736	3.72942734644631	2.44882290581428	19.4904011008763	8.49718123289703
variance	98.5998472847246	72.2020889046975	32.8247765547925	5.27704768846967e-05	0.000104671153136989	4.21061399829545e-05	5.80514509813295e-05	0.0152251181570603	3.89246122043259e-08	13.9086283324215	5.99673362404071	379.875735073042	72.2020889046975
median	-12356.7197510473	-11769.2493528991	-587.281491903731	0.156276303092485	0.508773803037071	0.13143365060501	0.203185470379102	2.44888519164802	0.00529317438464585	36.2001660311163	69.8116887989569	641.788017425901	-11769.2493528991
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.156348705297407	0.508627264296767	0.131184589615512	0.203265579323539	2.45367035264126	0.00529092597178711	36.2988520935726	69.8932793225568	642.692408121246	NaN
HPD95.lower	-12375.5195649108	-11787.2556893496	-598.501076353361	0.14245562256423	0.487896000171171	0.118450905382423	0.189666313519663	2.23746845020878	0.00489413939880424	29.8036135595515	65.2659631407146	601.882176966747	-11787.2556893496
HPD95.upper	-12336.7816246529	-11754.7926468756	-576.918122385608	0.171127987319138	0.527154287975338	0.143795368337401	0.218795374563291	2.72065036143821	0.00565784257281657	44.2239823407837	74.6311429281205	677.708753744569	-11754.7926468756
ACT	28013.1353675604	20449.9292175707	41656.2136854474	21067.8354506568	20000	20426.3313588494	23580.5526490406	21963.4115145017	36275.2964055638	23258.6227423635	27595.964017503	41615.4276636943	20449.9292175707
ESS	1285.8253646863	1761.37528970279	864.696927857935	1709.715271147	1801	1763.41014777452	1527.52993265684	1640.00023294274	992.962251701281	1548.67295449927	1305.26333405689	865.544391159153	1761.37528970279
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
