trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-8910.61810590975	-8240.61234435106	-670.005761558699	0.237580579465286	0.499960834989743	0.0495048443005271	0.212953741244439	2.17234709514819	0.00230586317321634	69.0381882352144	87.6805648875906	904.346399942709	-8240.61234435106
stderr.of.mean	0.297233001817204	0.206171234150014	0.26202488640491	0.000262519926916719	0.000292490469629392	0.00011080235544179	0.000209446368992222	0.00348532190299924	3.96164149567291e-06	0.216513122244925	0.132782474531831	1.12102927383359	0.206171234150014
stdev	10.2490110108303	8.1306286224161	6.77596965962297	0.0111377755123716	0.0122619099014062	0.00470094508880525	0.00888605549725284	0.139610820655075	0.000102973672351828	7.15274594115255	4.80357774842689	31.212064616093	8.1306286224161
variance	105.04222670012	66.107121795652	45.913764828131	0.000124050043363985	0.000150354434430203	2.20988847279622e-05	7.89619823002574e-05	0.0194911812439836	1.06035771976216e-08	51.1617744986743	23.0743591851819	974.192977599165	66.107121795652
median	-8910.34514419131	-8240.20653452954	-669.980009707139	0.237312547640527	0.499782675790096	0.0493393831600056	0.21304759765449	2.16830719612277	0.00230153093724966	68.5247765751886	87.4926776507757	903.315023416641	-8240.20653452954
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.237319604696872	0.499810411568694	0.049282926383698	0.212767955473906	2.1678710855698	0.00230356970429132	68.6712520196904	87.5497756487501	903.809882792746	NaN
HPD95.lower	-8930.60422848727	-8255.67475458309	-683.162176525516	0.216282271116485	0.474722164751876	0.0409796469644432	0.19531580451174	1.92914073958845	0.00211264350785249	56.698039615888	79.2251240096671	846.342972572742	-8255.67475458309
HPD95.upper	-8890.34140919807	-8224.55763965463	-656.375562635067	0.25962348977656	0.522408598145385	0.058729349159556	0.229165760722869	2.48362741079501	0.00251225852291489	84.346269084891	98.0412816781009	966.536456130772	-8224.55763965463
ACT	30278.3707426065	23147.8286546604	53832.4993786579	20000	20483.7546346627	20000	20000	22436.2359153606	53284.4280127279	32985.6626636488	27507.6971171629	46439.9003661417	23147.8286546604
ESS	1189.62807828078	1556.08547727642	669.112532684675	1801	1758.46667969	1801	1801	1605.43863667165	675.994870234809	1091.98958248291	1309.45167262024	775.626125724021	1556.08547727642
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
