trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-17305.113139508	-16767.0256756638	-538.087463844262	0.163731602708209	0.433046795038991	0.134775963599989	0.268445638652812	3.11545475925388	0.0107399389469565	24.5739011483273	85.349380988688	569.46079218091	-16767.0256756638
stderr.of.mean	0.262959455942323	0.215759778333748	0.1954331134989	0.000149833009023842	0.00018804527404437	0.000136391421962248	0.000169467547023968	0.00327141147275137	1.18525565838635e-05	0.0654956958233208	0.0920518792161283	0.535319099403357	0.215759778333748
stdev	9.65524760908688	8.40607554623055	4.63848018641683	0.00635687522258114	0.00797808407562529	0.00549252222379934	0.00683148273314539	0.129429897604313	0.000322116734189071	2.36006390205157	3.4018474068051	14.8379098005078	8.40607554623055
variance	93.2238063927778	70.6621060889352	21.5154984397815	4.04098625954661e-05	6.36498255177458e-05	3.01678003789296e-05	4.66691563332637e-05	0.0167520983938631	1.03759190444633e-07	5.56990162176688	11.5725657791866	220.163567248007	70.6621060889352
median	-17304.4541898632	-16766.6160668922	-537.967600507633	0.16353830379886	0.433088166356676	0.134636556211782	0.268481280410525	3.11169164559789	0.0107299482171032	24.3336700890517	85.1631075498607	569.028434359082	-16766.6160668922
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.163608452070329	0.432973359192531	0.134663947549526	0.268358646224584	3.11277738169575	0.0107351180621735	24.4620284366596	85.2819384220469	569.267780476021	NaN
HPD95.lower	-17325.5581896004	-16783.2228519887	-547.407264541386	0.152092349202948	0.416468955246565	0.12384593812115	0.253826270903571	2.86739794397501	0.010120500254951	20.5731165568173	78.8484379016775	542.846101918611	-16783.2228519887
HPD95.upper	-17287.8972181185	-16750.9127104634	-529.375611531805	0.176682721907085	0.447643339550115	0.145422670995482	0.280240552695835	3.3675260610283	0.011376840810172	29.6379214280281	91.7442798765921	600.757159789442	-16750.9127104634
ACT	26702.5735690912	23716.8367260632	63906.8272639339	20000	20000	22198.9705695541	22153.6608742135	22998.711020843	48741.6095871344	27725.5623156854	26359.5521071081	46857.8535475993	23716.8367260632
ESS	1348.93364891592	1518.75228623624	563.633050522726	1801	1801	1622.59776358285	1625.91637583144	1566.17472898182	738.99898475055	1299.16210859399	1366.48755842429	768.707853069071	1518.75228623624
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
