trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-35398.9991348407	-34540.0544339188	-858.944700921883	0.209256406356726	0.339595870091547	0.0755658157354819	0.375581907816247	1.62145840679077	0.00666261204120562	294.570978150136	607.734899815525	3550.57506502705	-34540.0544339188
stderr.of.mean	0.243015092754778	0.197919026470434	0.177280665029952	0.000101832464788225	0.00011198674924326	5.85970375889765e-05	0.000115386869580673	0.00105664733249644	7.53629753099949e-06	0.751018484080904	7.26961432247133	15.2355523670516	0.197919026470434
stdev	9.54159625615134	8.39699184875264	4.69259768443522	0.00432038491707544	0.00475119465436758	0.00248606137454497	0.00489544952095211	0.0448297427296827	0.00019873314627796	28.2010965649657	308.423567445579	646.389643880385	8.39699184875264
variance	91.0420591154013	70.5094721080183	22.0204730279668	1.8665725831693e-05	2.2573850643691e-05	6.1805011580044e-06	2.39654260121902e-05	0.00200970583320954	3.94948634295372e-08	795.30184746652	95125.0969558576	417819.571715811	70.5094721080183
median	-35398.4479874552	-34539.9291406555	-858.846611033041	0.209260658271786	0.339584521141994	0.0755771980918937	0.375561004682951	1.62009002384453	0.0066566244903965	293.007666993641	511.213144002946	3362.67634220394	-34539.9291406555
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.209211848913264	0.339562658877763	0.0755249438083338	0.375550016084011	1.62083984480886	0.00665964705560104	293.229839088567	549.462423488375	3500.03129816525	NaN
HPD95.lower	-35417.3689841192	-34556.1187621405	-867.888673122446	0.200597416794783	0.33038976768957	0.070579289223281	0.366395504806507	1.5314745963723	0.00627857960469445	244.233693609	246.972345476943	2746.0552431739	-34556.1187621405
HPD95.upper	-35380.6677769242	-34524.0257637844	-849.652486928806	0.217432813677415	0.348598707272651	0.0802442727043136	0.385593948545346	1.7040901688676	0.00705678655236886	354.551678237522	1220.38744080447	4876.36923516514	-34524.0257637844
ACT	23352.1455414548	20000	51380.5166820374	20000	20000	20000	20000	20000	51769.9591419171	25531.2234986239	20000	20000	20000
ESS	1542.47068801696	1801	701.043942841326	1801	1801	1801	1801	1801	695.770299938972	1410.82153786878	1801	1801	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
