trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-2988.29911455881	-2812.02883883837	-176.270275720434	0.227634549982253	0.240185851028002	0.274998272301095	0.25718132668865	2.74401524330797	0.00345555815424877	1.51433912058313	47.8205072697422	124.231970762761	-2812.02883883837
stderr.of.mean	0.43208302273811	0.173961242798059	0.40293723084975	0.000330826544543707	0.000335870219912078	0.000350123671391687	0.000355941997856275	0.00814049699310567	7.34899838386206e-06	0.0058166684956939	0.0259501254460816	0.196672559010003	0.173961242798059
stdev	14.3789803086824	7.10710553887791	12.8393880095182	0.0140357794165862	0.0142497644068686	0.0148544870453399	0.0151013376931417	0.338494043257677	0.000278990391086938	0.201035188295419	0.967900618786675	6.27021564645707	7.10710553887791
variance	206.755074717476	50.5109491407491	164.849884458959	0.000197003103831066	0.000203055785651259	0.000220655785380171	0.000228050400122302	0.11457821732093	7.78356383188428e-08	0.0404151469329748	0.936831607847629	39.3156042530751	50.5109491407491
median	-2987.76204160359	-2811.67436542792	-175.924057920056	0.227171179275758	0.240075686404846	0.274474394392704	0.257366320685111	2.73730932103947	0.00345866933140193	1.50188769610452	47.7405149642916	123.839650897705	-2811.67436542792
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.227203338581873	0.239763233936974	0.274597873351534	0.256735858984786	2.72324592703908	0.00344424214937261	1.50121807704021	47.8108019707377	124.075392273767	NaN
HPD95.lower	-3015.47195579891	-2827.00815377673	-200.848479700352	0.19907439134029	0.211377038363058	0.248400884725743	0.227201758241402	2.06891601183549	0.00289838480551493	1.13174060468094	46.0736923472802	112.262245703227	-2827.00815377673
HPD95.upper	-2959.05217777045	-2799.59603529199	-151.962259783694	0.252975522162237	0.266463975119778	0.30526494817836	0.286570642959952	3.38981734439218	0.00398624414012458	1.90457920437851	49.6040763055214	136.397625549038	-2799.59603529199
ACT	32507.2771353884	21568.5942579402	35455.9000594746	20000	20000	20000	20000	20821.0269463494	24979.2951244953	30137.472767016	25877.3473254181	35418.0746679942	21568.5942579402
ESS	1108.05958462721	1670.0207518967	1015.90990327644	1801	1801	1801	1801	1729.98191169026	1441.99425245903	1195.18979837693	1391.95101982572	1016.99486314963	1670.0207518967
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
