trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-2420.65868491227	-2003.39996347291	-417.258721439368	0.370281082693919	0.185234389340747	0.310600027470922	0.133884500494412	2.3591740193732	0.000772460818299125	9.87500298083581	59.2750466156113	304.323756325782	-2003.39996347291
stderr.of.mean	0.545036510797492	0.148025018653863	0.544506550002108	0.00041589490633529	0.000341434232799653	0.000409224540284004	0.000289652085930184	0.00907944397209284	2.4100672418714e-06	0.0483767201989558	0.132864793213276	0.763869045550878	0.148025018653863
stdev	16.7588932358711	6.28016869936265	16.4104453874297	0.0175051300381328	0.0139316934989467	0.0163628948173341	0.0122888953523288	0.385208124678498	8.91338991910894e-05	1.55152770844364	5.36613238086153	24.5720696813182	6.28016869936265
variance	280.860502491326	39.4405188924544	269.302717813812	0.000306429577651938	0.000194092083748593	0.000267744326803138	0.000151016948980488	0.148385299318325	7.94485198500728e-09	2.40723823006837	28.7953767289307	603.786608423558	39.4405188924544
median	-2420.21289125972	-2003.01693558419	-417.325374843066	0.370089934791488	0.185385769492026	0.3105736998674	0.133741122186333	2.32916773751363	0.000769133515814316	9.72884383289782	58.8530893814421	303.057779587495	-2003.01693558419
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.369867201850333	0.18470775595036	0.310169173573996	0.133319461460041	2.32843069087057	0.000767329766822354	9.75645489006042	59.0379968905814	303.3453211668	NaN
HPD95.lower	-2454.75682565178	-2016.11639295118	-451.387474444902	0.33349896356145	0.157665652843257	0.279711690396709	0.109722525927057	1.61122739475332	0.000601744792062684	7.06447436290042	49.8933581838761	260.476120589717	-2016.11639295118
HPD95.upper	-2389.72691085112	-1991.55332982273	-386.935474459241	0.403256415382301	0.212997707562645	0.343123591592387	0.15633196870871	3.09767252592506	0.000945915904371747	12.9957791044159	70.202093616643	354.704747717421	-1991.55332982273
ACT	38077.014518242	20000	39633.99471112	20320.7104157643	21622.6375410648	22516.7356059689	20000	20000	26319.332799258	34999.0403956344	22069.8526627821	34790.1829863134	20000
ESS	945.977526225002	1801	908.81578459448	1772.57582353305	1665.84672806878	1599.69902521978	1801	1801	1368.57572624392	1029.17107420159	1632.09064194357	1035.34954139708	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
