trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-14951.4899874161	-14672.7516050276	-278.738382388488	0.188486358951571	0.464817882891451	0.114678564857349	0.232017193299632	4.43839571816633	0.0295872381791977	3.23449846231345	48.0186841191681	160.222505608751	-14672.7516050276
stderr.of.mean	0.268823439126023	0.204630722336841	0.142843207792374	0.000178538376775166	0.000208376418019099	0.000132290717303559	0.000158655224947833	0.00489052267554074	2.33996303422842e-05	0.00735338208844277	0.010361348173885	0.0875830836537065	0.204630722336841
stdev	9.5328883237226	8.45020110079074	4.32050548428404	0.0075747406462438	0.00884066132894013	0.00561261893145765	0.00673117008711631	0.207487272825638	0.000795639934704981	0.310147814668263	0.439594705520631	2.66544730737459	8.45020110079074
variance	90.8759597925666	71.4058986438051	18.6667676397284	5.7376695857858e-05	7.81572927330175e-05	3.15014912697568e-05	4.53086507416894e-05	0.0430509683846206	6.33042905697346e-07	0.0961916669434993	0.193243505121771	7.10460934839043	71.4058986438051
median	-14951.0223628718	-14672.4442559753	-278.685502646262	0.188318060122031	0.464733541751434	0.114454856299606	0.23207829621436	4.4359536281563	0.0295429329391038	3.21098907896893	48.0118434032179	160.20070314619	-14672.4442559753
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.188334085451553	0.464733876356859	0.114541454590208	0.231919598328371	4.43354871893166	0.0295765588160707	3.21984103232852	48.0166745967957	160.20038199247	NaN
HPD95.lower	-14971.7579183988	-14688.2347993898	-287.438174184942	0.174724413972518	0.446887829946013	0.104969485455724	0.219347938851996	4.04271993313238	0.0280418793463445	2.62958229743958	47.1811249410188	155.161233887557	-14688.2347993898
HPD95.upper	-14934.9836362376	-14655.9451657338	-270.50772131356	0.20401264323986	0.481242353440115	0.12678734409835	0.245476867451714	4.83784526081259	0.0311207719214094	3.84399648292374	48.8604683151822	165.614534243475	-14655.9451657338
ACT	28627.776743485	21111.0557283713	39350.6974485755	20000	20000	20000	20000	20000	31137.7490283666	20236.6761492091	20000	38868.9337794494	21111.0557283713
ESS	1258.21855894546	1706.21500238818	915.358617139425	1801	1801	1801	1801	1801	1156.79524448558	1779.93657329975	1801	926.704092383526	1706.21500238818
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
