trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-15899.3931561306	-15275.3060024966	-624.087153633978	0.329677111587442	0.437709128628399	0.160466638261906	0.0721471215222516	1.60018155042622	0.00637715518390689	48.1969322040761	89.1130155945917	779.810935934159	-15275.3060024966
stderr.of.mean	0.266051844535765	0.202182292890521	0.151856036053517	0.000190938811929704	0.000209907349138034	0.00014072612417893	8.79185554641858e-05	0.00161480812267857	6.92637985860376e-06	0.120618303313695	0.0902546815405861	0.646472364650189	0.202182292890521
stdev	9.93722972055482	8.57786689657872	4.57666945890673	0.00810084647230086	0.00890561322546042	0.00597050288044717	0.00372907858653403	0.0685104958590584	0.000197475906908283	4.58015200659669	3.33598461077525	20.0109817365842	8.57786689657872
variance	98.7485345190779	73.5798004954211	20.9459033360897	6.56237135677893e-05	7.93099469214955e-05	3.5646904645428e-05	1.39060271045467e-05	0.00469368804285405	3.89967338092488e-08	20.9777924035317	11.1287933233293	400.439390061906	73.5798004954211
median	-15899.0025268756	-15275.1523458925	-624.226781135936	0.32976435859349	0.437710591057359	0.160415386004616	0.0721766373165382	1.59886507594866	0.0063763032422147	47.9689236886436	89.0635942753911	779.396859952757	-15275.1523458925
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.329577565829874	0.437618586481672	0.160355649427646	0.0720509977120793	1.59871825867093	0.00637409855705075	47.9813987308655	89.0508860185621	779.554675034045	NaN
HPD95.lower	-15917.8037149892	-15291.0454209935	-632.98223985094	0.313648359537853	0.420833285278406	0.148741226047405	0.0646529075692148	1.45874378956282	0.00599504303002785	39.8853273731431	82.5036975354153	741.17469367186	-15291.0454209935
HPD95.upper	-15879.9340614825	-15257.5850437924	-614.859141423274	0.345068886762125	0.454839220316162	0.172130011217444	0.0796499043754497	1.73000220119204	0.00677136861826674	57.7279017472059	95.0940547995983	817.543544112909	-15257.5850437924
ACT	25805.0233275634	20000	39633.9530048578	20000	20000	20000	20010.6125379619	20000	44288.0688787821	24967.1524851514	26350.7976480167	37572.1030123353	20000
ESS	1395.85225491835	1801	908.816740928798	1801	1801	1801	1800.04484778599	1801	813.311596371202	1442.69555855126	1366.9415431419	958.690014987298	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
