trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-24200.7673936243	-23570.0774041362	-630.689989488067	0.3119376382083	0.398480334910106	0.261321502241149	0.0282605246404445	4.36928191259535	0.0125458204261093	49.6234566841244	83.9418125810193	810.952254790124	-23570.0774041362
stderr.of.mean	0.261061473330438	0.201022422477672	0.170977418831918	0.00014302954772395	0.000194076924505721	0.000134345228942182	3.97265540639847e-05	0.00345642038690171	1.1909152265426e-05	0.108739618011314	0.0737230871986266	0.693184184926256	0.201022422477672
stdev	9.33697848399035	8.45616571057698	3.8453108037149	0.00606822884988372	0.00823398529271244	0.00567666378845341	0.00168088502076512	0.146643475022406	0.000318033945282116	4.61343056481679	2.93670300547031	18.5030812014227	8.45616571057698
variance	87.1791672104988	71.506738524738	14.7864151771665	3.6823401374561e-05	6.77985138006048e-05	3.22245117671382e-05	2.82537445303254e-06	0.0215043087666471	1.01145590351708e-07	21.2837415763858	8.62422454233832	342.364013946443	71.506738524738
median	-24200.5880008512	-23569.8387896516	-630.654957935918	0.312009403630544	0.398413818161896	0.261337288936336	0.028209522770379	4.36179733820161	0.0125359903493686	49.4974130341949	83.7337833028416	810.627110560428	-23569.8387896516
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.311878677652133	0.398395340006284	0.261259891933539	0.0282106133287118	4.36683090097975	0.0125417885382461	49.4107324474917	83.8908585406716	810.741855728168	NaN
HPD95.lower	-24220.2670120754	-23586.22037664	-637.908443474722	0.300520416890187	0.383513889364872	0.249410779345308	0.0250041155126025	4.08510780400588	0.0119252428292164	41.481719525418	78.6428771721677	772.760615533088	-23586.22037664
HPD95.upper	-24183.6067073608	-23553.3088229968	-623.105836910243	0.32375840929026	0.415580257992771	0.2721917894428	0.0314710159400809	4.64889107506868	0.0131485643387337	59.4346162769791	90.1790856386715	844.362345612383	-23553.3088229968
ACT	28143.3129509921	20344.3772882058	71173.2804463817	20000	20000	20163.2491309034	20108.8920883483	20000	50479.73997581	20000	22687.6408132674	50525.6080334329	20344.3772882058
ESS	1279.87774796535	1770.51376356856	506.088798690902	1801	1801	1786.41843713539	1791.24736667472	1801	713.553596299443	1801	1587.6485482323	712.905819483963	1770.51376356856
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
