trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-16635.3720709984	-15970.2368292127	-665.135241785722	0.106412471769795	0.418889619222911	0.329775961209756	0.14492194779754	1.82618927918249	0.00531126763688073	66.252737335495	171.46405124976	1102.31209955831	-15970.2368292127
stderr.of.mean	0.27082106747538	0.196122888918083	0.212661465625525	0.000116356703406644	0.000200235735541108	0.00018664852207215	0.000133283641453897	0.00182237663329955	6.37363429230837e-06	0.174361613889323	0.345930892741557	1.335225997883	0.196122888918083
stdev	9.57348739545452	8.32078819791982	5.14321124813248	0.00468221801981876	0.00834685632775252	0.00791882491729869	0.00535369255584091	0.077316880585301	0.000179915058938142	6.51926571067101	12.9183172319611	38.3749271867447	8.32078819791982
variance	91.6516609109266	69.2355162346418	26.4526219429165	2.19231655851155e-05	6.96700105561423e-05	6.27077880708307e-05	2.86620239824663e-05	0.0059779000234417	3.23694284327149e-08	42.5008254063308	166.882920105582	1472.63503658796	69.2355162346418
median	-16634.8365933948	-15969.883159967	-665.052289295454	0.106314100349266	0.41883641813464	0.329575848662031	0.144774117626777	1.82541638892664	0.00530797157477034	65.9135167864484	170.799152904514	1102.59859155986	-15969.883159967
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.106309923933261	0.418806551421365	0.329680887532686	0.144823024404032	1.82455712885062	0.00530822954479507	65.9353936786782	170.983884334365	1101.64580897108	NaN
HPD95.lower	-16653.2891848274	-15987.9049456729	-675.660378889307	0.0974622218442828	0.402792390724591	0.31304031343369	0.134213154806686	1.66289629882652	0.00497438560567793	53.9779844447884	147.996096477394	1031.89540112822	-15987.9049456729
HPD95.upper	-16616.7358161774	-15955.155734325	-655.418539903808	0.115799107191179	0.435569522064573	0.344464229663448	0.154625250426755	1.96570386933955	0.00567178732706982	79.8572301716769	197.637284093042	1178.36415914036	-15955.155734325
ACT	28808.91606338	20000	61547.6176103201	22232.173317831	20717.61056647	20000	22312.5502183361	20000	45179.5205153551	25751.7508911366	25814.8241865308	43582.9675047779	20000
ESS	1250.30736737042	1801	585.237924691991	1620.17448699497	1738.61748604812	1801	1614.3381033334	1801	797.263883926301	1398.73984306044	1395.32230549894	826.469652302846	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
