trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-37401.7501038758	-36685.2662328503	-716.483871025436	0.191192924591329	0.0780036056465024	0.341915046676363	0.388888423085809	1.61460050222642	0.0154999561322454	97.3261652788316	235.753095689673	1426.17573382982	-36685.2662328503
stderr.of.mean	0.261111939739651	0.202141027746989	0.145757194031395	8.60603345801098e-05	5.59665629936811e-05	0.000117136869322357	0.00013268410371459	0.000987140756173908	1.26097181922959e-05	0.244436835216006	2.39007133841803	4.89431630707538	0.202141027746989
stdev	9.05937117724219	8.38714630356726	3.54034407246427	0.00365123020690514	0.0023283801812932	0.00491337503471067	0.00519146216254671	0.0418808288974788	0.000338101056186291	8.99826489712405	94.6859551818911	191.545732163595	8.38714630356726
variance	82.0722061270466	70.3442231174419	12.5340361514329	1.33314820238166e-05	5.42135426863897e-06	2.41412542317181e-05	2.69512793851542e-05	0.0017540038291399	1.14312324194285e-07	80.9687711588149	8965.43010870708	36689.7675100878	70.3442231174419
median	-37401.1376427656	-36684.6440454205	-716.416921567942	0.191275972412319	0.0779667615338508	0.341855859899463	0.388878611130499	1.61340236365182	0.0154876158335188	97.0535815027078	209.846500273266	1375.75919646508	-36684.6440454205
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.191158013741913	0.0779689092630476	0.341879764948867	0.388853790475176	1.61405856270374	0.0154962776205793	96.9150865795416	221.096818788798	1414.87156363591	NaN
HPD95.lower	-37419.130807156	-36702.2947492646	-723.664537397485	0.184302207572317	0.0731741200015311	0.33321105074587	0.378921290907286	1.53272854225957	0.0148008743771549	79.1969462794283	121.285184169742	1178.20984711003	-36702.2947492646
HPD95.upper	-37383.7317600112	-36669.8345373109	-709.943244692898	0.198602588531295	0.0823103983310091	0.352129927162324	0.399250904998935	1.69209012042833	0.0161305529446106	114.00976541393	425.835650549539	1819.97099312794	-36669.8345373109
ACT	29906.0958753424	20911.3883748917	61019.8902197868	20000	20799.4500726821	20461.1369554317	23515.8548489835	20000	50074.8980272438	26565.5078632003	22937.8635640578	23503.9834934085	20911.3883748917
ESS	1204.43671919405	1722.50638524074	590.299324863745	1801	1731.7765553479	1760.4104834672	1531.73253667863	1801	719.322483300973	1355.89352123384	1570.32933339272	1532.50618177559	1722.50638524074
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
