trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-7451.35903187073	-7168.67427485924	-282.684757011487	0.0819804714193799	0.258490503245768	0.532002036569966	0.127526988764881	1.26716210251823	0.00993792642175631	3.38364293440391	48.917882074615	177.445651105128	-7168.67427485924
stderr.of.mean	0.323012695095901	0.192701512613515	0.235532018854676	0.000136898874570554	0.000249637651414067	0.000298213191688899	0.000201355257914684	0.00213030116697283	1.37270515782605e-05	0.00884603552668402	0.0385676441103934	0.208074509109201	0.192701512613515
stdev	10.7045196678519	8.17563151716347	7.00140450898419	0.00580812645642272	0.0101662153617345	0.0122251145344176	0.0074600006566921	0.0896142857708294	0.000455082698487949	0.34256643119958	1.41700864517266	6.27847048935666	8.17563151716347
variance	114.586741319428	66.8409507044367	49.0196650984242	3.37343329337975e-05	0.000103351934781166	0.000149453425379629	5.56516097978466e-05	0.00803072021421588	2.07100262463074e-07	0.117351759784817	2.00791350049405	39.4191916857225	66.8409507044367
median	-7450.72829373814	-7168.33817951704	-282.707712790219	0.081868944390475	0.25858783006259	0.532037307902971	0.127037395265986	1.26278948726477	0.00992542652764807	3.37370212934426	48.7927180144497	177.34761153251	-7168.33817951704
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0817747802280041	0.258290392172314	0.531861505524292	0.127309305528735	1.26401541701473	0.00992754324976243	3.36636809171306	48.8975142474281	177.334709265554	NaN
HPD95.lower	-7471.40980714502	-7185.47221145556	-296.563399048612	0.0709813300592376	0.238776713206761	0.509233557419553	0.112791642528276	1.08987741772671	0.00910655800815455	2.79473106282554	46.5709958592751	165.422152554106	-7185.47221145556
HPD95.upper	-7429.56544652735	-7153.31310301321	-269.034418147429	0.0933640207868691	0.278330394520084	0.555214310980959	0.141976478392693	1.43791370463419	0.0108580120050733	4.1504326393889	51.5342612771548	189.790346417096	-7153.31310301321
ACT	32779.8665046176	20000	40741.0235913456	20000	21707.2062022308	21421.5156383765	26227.1188713081	20343.6971342557	32754.8977813647	24005.4647592153	26668.8070275887	39539.6125736951	20000
ESS	1098.84523156694	1801	884.12113454242	1801	1659.35678983408	1681.4869969084	1373.38760604029	1770.57295742708	1099.68287003762	1500.49167392906	1350.64159273182	910.985152746878	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
