trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-13636.8553661623	-13107.5361456675	-529.319220494806	0.334234265139957	0.0518534349344341	0.28725463724201	0.326657662683599	2.87862714644743	0.00828859035258262	23.1221452969001	85.8020894800482	526.319558659999	-13107.5361456675
stderr.of.mean	0.296820136949116	0.201413246809589	0.17997326001302	0.000194939338993827	8.53558056179392e-05	0.000187368237166655	0.00022779660876049	0.003052204592064	8.19244156410468e-06	0.0579911043750183	0.114607714336795	0.484904525132073	0.201413246809589
stdev	9.97332341263073	8.47995136633631	4.94132302234292	0.00827057443502999	0.00351866709605303	0.00794935983801733	0.00966459011570104	0.129494053893376	0.000262641035629896	2.27082957295962	4.24422529037051	14.9480268515939	8.47995136633631
variance	99.4671798929284	71.9095751754291	24.4166732111361	6.84024014853717e-05	1.23810181328462e-05	6.3192321834283e-05	9.34043021045062e-05	0.0167687099937405	6.89803135967444e-08	5.15666694942799	18.0134483154206	223.443506755973	71.9095751754291
median	-13636.1622145242	-13107.3142083739	-529.079401418729	0.334283719561162	0.0519142947915814	0.286970666515935	0.326505536352911	2.87585974434132	0.00828858095765638	23.0236855459344	85.6779951017531	525.142802462374	-13107.3142083739
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.334132044429695	0.0517337895881204	0.287144626207835	0.326514722267474	2.87571580991402	0.00828442722699207	23.0122208028068	85.697299197741	526.108444201265	NaN
HPD95.lower	-13656.3925024136	-13124.8576454468	-539.153063634079	0.318869818564913	0.0444558324189714	0.27151928976486	0.307398726825503	2.64164767617124	0.00777890098267063	18.6258924618433	78.0429097911046	498.059819678003	-13124.8576454468
HPD95.upper	-13618.3018474791	-13092.4808250212	-519.98607227267	0.350368510742133	0.0583283935794603	0.302029830338813	0.345166687365761	3.14140231662901	0.00878902910994421	27.357794498837	94.5013193860868	556.762428333056	-13092.4808250212
ACT	31886.6785772616	20309.1480007099	47756.4287949283	20000	21184.2034420145	20000	20000	20000	35027.0777908629	23477.7267059975	26250.2359600806	37883.2388377727	20309.1480007099
ESS	1129.62533594471	1773.58498735352	754.244002512711	1801	1700.32354997884	1801	1801	1801	1028.34727507289	1534.22009085737	1372.17814174229	950.816274032121	1773.58498735352
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
