trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-53427.9103582881	-52388.4421794434	-1039.46817884465	0.111009579074628	0.429101778467342	0.102057496401738	0.357831146056294	1.74979590959027	0.00548069544004306	1181.44053828934	2182.56644253271	11862.9889697804	-52388.4421794434
stderr.of.mean	0.703272588588154	0.242030054354485	0.589338276862385	5.54521241352363e-05	8.17402463444831e-05	5.7759222228846e-05	8.0670916430958e-05	0.00100237576985748	2.28177836721553e-05	5.65303222497068	30.710109067383	71.6943284302217	0.242030054354485
stdev	11.5925260909134	8.81991475141495	7.45566300050835	0.00235263401737254	0.00346794441398584	0.00220224096598057	0.003391852696367	0.0425271956869583	0.000277677699554769	122.876527014792	1298.36790413591	2929.51485367005	8.81991475141495
variance	134.386661168508	77.7908962222269	55.5869107771491	5.53488681969845e-06	1.20266384584956e-05	4.84986527224305e-06	1.15046647138521e-05	0.00180856237299684	7.71049048300287e-08	15098.6408912168	1685759.21449027	8582057.27787348	77.7908962222269
median	-53427.5357898641	-52388.1017814482	-1039.71928911902	0.110995451522702	0.429096888751792	0.102027900518725	0.357827110480265	1.74775707333679	0.00547038299110795	1178.34901761292	1880.09186954594	11227.7285638769	-52388.1017814482
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.110984651756075	0.429087773382526	0.102033748139019	0.357815073943105	1.74928037698468	0.00547367933608916	1175.10013202151	1876.94014794468	11548.3591821553	NaN
HPD95.lower	-53450.9966500547	-52406.6339711375	-1054.66557576984	0.106534864860775	0.422581518213695	0.0981346525928701	0.350890364266273	1.67189569526914	0.00496042670115301	949.207918434064	570.700034821414	7342.81717866179	-52406.6339711375
HPD95.upper	-53407.1246622057	-52372.3056223031	-1025.71174147673	0.115714133124429	0.436183566831104	0.10669980854083	0.364122983199838	1.83594721434847	0.00601419822660871	1427.95419506066	4742.35798143888	17533.8643599042	-52372.3056223031
ACT	132493.198124365	27108.9182812985	224936.081728394	20000	20000	24763.6903871541	20363.9668603507	20000	243090.103253982	76195.1683816804	20140.4672687832	21561.5789015178	27108.9182812985
ESS	271.863012667184	1328.7140278426	160.134380056879	1801	1801	1454.54895602656	1768.81057836193	1801	148.175509894642	472.733386709862	1788.43914191749	1670.56411613086	1328.7140278426
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
