trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-2726.82111240611	-2277.29833845292	-449.522773953187	0.201908651078858	0.138946776638733	0.437356288577454	0.221788283704959	1.93279955219026	0.000921524135293692	12.6438128476916	51.9298977637653	315.848254282064	-2277.29833845292
stderr.of.mean	0.489714745620184	0.170982268824379	0.472175117453212	0.000330363036493726	0.000280641818668246	0.000418634226754189	0.000342681351606222	0.00663936938756629	2.56511478755324e-06	0.0545182334410473	0.0650456079845317	0.637551277728198	0.170982268824379
stdev	14.9328079467484	6.93338112426766	14.0635431700137	0.0140161144385045	0.0119066221464484	0.0177611432935626	0.0145387362067832	0.281684543535183	9.01066652316648e-05	1.77826787757743	2.61653564845712	19.6976513686622	6.93338112426766
variance	222.988753174472	48.0717738143511	197.783246494839	0.000196451463953253	0.000141767650938296	0.000315458211094464	0.00021137485049043	0.0793461820666242	8.11921111917131e-09	3.16223664442374	6.84625879964691	387.997469441358	48.0717738143511
median	-2726.70221397434	-2276.89652043219	-449.351389832023	0.202036943860641	0.138915482541159	0.437383931581756	0.221412865954525	1.9088763227445	0.000917006622801864	12.4995879742298	51.6776065874131	314.38141032421	-2276.89652043219
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.201420670712832	0.138434829362601	0.436995502726124	0.221312908846775	1.91254856706033	0.000917150323172881	12.5202606014518	51.8654828489701	315.242331867621	NaN
HPD95.lower	-2757.2126437339	-2290.48557538212	-477.55673468027	0.175536321468615	0.115856612088254	0.401270776199411	0.193613156323826	1.42469460880631	0.000755516873287572	9.12439392019378	47.2163756431326	282.010812188704	-2290.48557538212
HPD95.upper	-2698.79501172904	-2263.92785252101	-424.082692851175	0.229525511836876	0.162838179758777	0.469445599034266	0.249082487010375	2.50527172417151	0.00110323493748152	15.9086233102258	57.0191961015856	358.912407727905	-2263.92785252101
ACT	38717.3629486802	21893.4584006787	40580.6556446876	20000	20000	20000	20000	20000	29174.4139737074	33836.9764815011	22247.6943536367	37714.097071561	21893.4584006787
ESS	930.331955917154	1645.24029693195	887.615033019197	1801	1801	1801	1801	1801	1234.64348015566	1064.51591558993	1619.04417722783	955.080534783943	1645.24029693195
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
