trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-1229.47721125763	-1110.40570042515	-119.071510832477	0.299017834175455	0.515360344687563	0.143476146169789	0.042145674967195	2.71187530950182	0.000755744145355931	0.969806838124656	47.6796976435761	98.9377275416708	-1110.40570042515
stderr.of.mean	0.806418693742508	0.108693526555225	0.812572292446777	0.000403413652212257	0.000455586549613002	0.000301967563441088	0.00017507202832006	0.0170601418174916	3.27904748424468e-06	0.00635189929340021	0.0307003259321195	0.259047794183253	0.108693526555225
stdev	21.2800841975351	4.61147507024925	21.1524474454339	0.0171153891048868	0.0193288973360689	0.0128113967313865	0.00720440817610329	0.723800406331531	0.000124833245311922	0.182957825996308	1.25307883518036	7.13564469360106	4.61147507024925
variance	452.841983454182	21.2657023235303	447.426032931841	0.000292936544211676	0.000373606272228292	0.000164131886208981	5.19034971679039e-05	0.52388702820569	1.55833391351064e-08	0.0334735660932952	1.57020656717698	50.917425193317	21.2657023235303
median	-1229.05125835542	-1110.22035727613	-118.904769311724	0.29854296989055	0.515144529418186	0.14298672875859	0.0416464462344995	2.62121852783401	0.000743975496791149	0.955073458657199	47.4294361357109	98.4824531836108	-1110.22035727613
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.29852718013746	0.514997285585926	0.142905831955815	0.041530062184753	2.61976328906567	0.000745641095927261	0.953066831769269	47.6635467204619	98.6840157569278	NaN
HPD95.lower	-1271.032020126	-1119.35508683251	-158.606056734667	0.266455010005067	0.477243117059125	0.12013701985688	0.0291113084872441	1.49506129055966	0.000532239306399787	0.609574859775718	46.0003453009056	86.3373026405029	-1119.35508683251
HPD95.upper	-1187.08484415653	-1102.05889601425	-75.9640760706656	0.332992417491898	0.551033851896547	0.171029020617395	0.056980412349471	4.21742930414249	0.00100785508815577	1.31263068847782	50.1736895708339	114.259156121223	-1102.05889601425
ACT	51698.3706810285	20000	53125.7575786293	20000	20000	20000	21258.8257680637	20000	24839.1800831155	43391.7926300967	21608.8447731116	47445.5767032982	20000
ESS	696.733756315807	1801	678.013860728259	1801	1801	1801	1694.35510657938	1801	1450.12838102835	830.110899244489	1666.91002588072	759.185629152572	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
