trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-11599.1573100224	-11211.5851432339	-387.572166788497	0.174043002314132	0.552193121010099	0.181808098916367	0.0919557777594005	1.29338073670998	0.0123804949817568	7.65563658048124	46.4228567070197	245.246893677111	-11211.5851432339
stderr.of.mean	0.309140039117624	0.208036905977978	0.151231217632864	0.000167483344688023	0.000250311048145972	0.00016996768200774	0.000136581954261322	0.00186546647375732	1.04098001543748e-05	0.0183896530832297	0.00742259055852436	0.157144835547252	0.208036905977978
stdev	9.72144281546879	8.41904305154222	4.68793851163409	0.00710571542932104	0.00988287003355919	0.00721111691898695	0.00517339934772873	0.0686101698255762	0.000362987573603665	0.741157034951888	0.314913798476409	4.12561428630088	8.41904305154222
variance	94.5064504144298	70.8802859037213	21.976767488862	5.04911917624911e-05	9.76711201002222e-05	5.20002072192998e-05	2.676406081108e-05	0.00470735540349441	1.31759978590676e-07	0.549313750458673	0.0991707004708405	17.0206932393299	70.8802859037213
median	-11598.6877793344	-11211.2209893808	-387.709683381921	0.173903631757714	0.552211089989799	0.181931585374605	0.0917949504909747	1.29069765828843	0.0123667105186283	7.63447603982512	46.3631138201935	245.306692828594	-11211.2209893808
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.17389798862845	0.552104593379204	0.181665203793542	0.0918099088854705	1.29156971527668	0.012375173429075	7.61973155181622	46.4217944137587	245.212216187014	NaN
HPD95.lower	-11618.5398411191	-11227.0643351597	-396.869779887829	0.160222523851162	0.533449676201991	0.167892260072366	0.0820693968059562	1.15215119786424	0.0117013440538375	6.11652202646224	46.0001154579963	237.057811550529	-11227.0643351597
HPD95.upper	-11580.9440971813	-11195.4175109981	-378.609594534386	0.187565463430154	0.571021132596374	0.195437879728226	0.102560901603759	1.42352092288526	0.0130990353851412	9.06121211907595	47.0266049895872	253.245870210581	-11195.4175109981
ACT	36404.1948389179	21981.5178820622	37464.6302745958	20000	23093.8444360379	20000	25092.099653376	26613.3946823678	29607.6293486668	22163.0215720281	20000	52230.6400407167	21981.5178820622
ESS	989.446412958235	1638.64935047974	961.440156648888	1801	1559.72298591355	1801	1435.51159518664	1353.45379384707	1216.57832093949	1625.22965936472	1801	689.633517259609	1638.64935047974
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
