trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-4516.95512209355	-4050.32429034837	-466.630831745181	0.187232529829612	0.238949198614189	0.40780875221607	0.16600951934013	2.8973224310845	0.00194578251030993	14.3539005021739	59.2957774358509	385.232204152125	-4050.32429034837
stderr.of.mean	0.353848758078174	0.192891948264953	0.311867054004819	0.00027982693499708	0.000321131390614475	0.000392597343822272	0.000262145458925634	0.0063414473899578	3.78304310644674e-06	0.0453440336348091	0.0709836988180383	0.589323220257279	0.192891948264953
stdev	11.9935169805287	7.58504356460005	9.79824368670715	0.0114084774371779	0.0131972691033804	0.0153189281458009	0.0111218881834734	0.26641457576051	0.00012890626622659	1.63082958246065	2.84333628501981	17.8224905391041	7.58504356460005
variance	143.844449562231	57.5328858768807	96.0055793440964	0.000130153357434597	0.000174167911787038	0.000234669559536212	0.000123696396765684	0.0709767261776526	1.66168254724805e-08	2.65960512702879	8.08456122971024	317.641169016454	57.5328858768807
median	-4516.2393799108	-4049.9470357822	-466.254105931999	0.18721131861081	0.23911165588266	0.408477314696767	0.165800291974865	2.88782601120427	0.00194440010166312	14.2249428709207	59.1068209381646	384.144450416746	-4049.9470357822
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.186885295851501	0.238584193471797	0.4075206251914	0.16563648678521	2.88518349787638	0.00194149354400639	14.2626063760626	59.2286082161604	384.823824038732	NaN
HPD95.lower	-4540.58088531354	-4065.06922303463	-485.696067855197	0.165761764432015	0.213142571276903	0.375231425091936	0.143673307780646	2.37287307717266	0.0017103228941982	11.3201257700464	54.196097132297	352.071832363203	-4065.06922303463
HPD95.upper	-4494.38011271354	-4035.38128312392	-448.167485168058	0.210851691871337	0.263769092107762	0.435483176330819	0.187196537812293	3.39291562696556	0.00220158825512058	17.6424327449098	65.0265508305114	421.404507593432	-4035.38128312392
ACT	31336.0758226838	23281.6848931951	36470.7663939332	21658.3826443117	21315.7069946933	23645.054671462	20000	20396.8541679482	31005.3678463411	27830.7882280373	22436.916090392	39361.5949262595	23281.6848931951
ESS	1149.47385894202	1547.13888471741	987.640336672273	1663.09740628118	1689.83369911059	1523.36293996705	1801	1765.9585984883	1161.73432221514	1294.25008393089	1605.3899678051	915.105194987152	1547.13888471741
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
