trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-18112.8486822278	-17474.2013778636	-638.647304364169	0.0391097437252277	0.144305570833161	0.526107594519194	0.290477090922417	3.80410663531775	0.00753873688749291	53.120481087455	70.6174566604497	758.822062251454	-17474.2013778636
stderr.of.mean	0.244998794194671	0.196118950389664	0.150003355258986	5.13792440668364e-05	0.000116088826775657	0.000208225807625565	0.000167149745986065	0.00361001723844725	7.19508497286731e-06	0.138397220694571	0.0697889678917615	0.624384063919339	0.196118950389664
stdev	9.43553125576809	8.32062110033642	4.62284082168745	0.00217983637711934	0.00491034627007627	0.00883427147209112	0.00709156203724422	0.152687449303089	0.000232701465345243	5.19281927285021	2.68707342705559	19.0438335566833	8.32062110033642
variance	89.0292500785765	69.2327354953637	21.3706572626599	4.75168663101278e-06	2.41115004920519e-05	7.8044352442603e-05	5.02902521280834e-05	0.0233134571746833	5.41499719738235e-08	26.9653720004846	7.22036360238826	362.667596534656	69.2327354953637
median	-18112.1740701278	-17473.9536783218	-638.512965607866	0.039049002594792	0.144202152341906	0.526003730801067	0.290433317490858	3.79578781360183	0.00753691736595679	52.8426125546637	70.4965310922091	757.877832798845	-17473.9536783218
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0390491209350273	0.144222030769749	0.526033389571481	0.29039050312359	3.80105407948852	0.00753514694492644	52.8695888856228	70.5665841242335	758.584144810505	NaN
HPD95.lower	-18131.3163665996	-17490.8769446068	-646.896678768106	0.0348157611226786	0.135502941494983	0.508288134782681	0.277286986625316	3.51875560725357	0.00708547394923798	43.3285838899599	65.3782545359724	722.761290520863	-17490.8769446068
HPD95.upper	-18095.3448403637	-17459.0365848151	-629.172658035577	0.0436242716099301	0.15461457841411	0.541791087305785	0.304537397335731	4.11092945239602	0.0079709392636359	63.5388040510016	75.5779714862522	795.156213121914	-17459.0365848151
ACT	24271.5518866136	20000	37904.121395765	20000	20121.4360631393	20000	20000	20123.9967247281	34417.2356227844	25571.1752177221	24283.8113088433	38698.7763349378	20000
ESS	1484.04190091636	1801	950.292439809052	1801	1790.13067889252	1801	1801	1789.90289517088	1046.56865515819	1408.61730809448	1483.29269824638	930.778784534348	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
