trace	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	mu	Theta	psi.height	psi.treeLength	sim.treeLikelihood
mean	-14562.1613237828	-14012.9193046225	-549.242019160282	0.359803271842999	0.180248869469336	0.233631946011189	0.226315912676475	0.676621844408204	0.00768248132574786	26.5174617665679	75.7741090595806	524.808950671369	-14012.9193046225
stderr.of.mean	0.247312074547365	0.197221202142726	0.14452371889859	0.000207801573668984	0.000169199503226495	0.00019749268406168	0.00018718973543536	0.000910702115545676	8.26701315357233e-06	0.0669596112654571	0.0644401634280858	0.497221851813624	0.197221202142726
stdev	9.63507187779041	8.2977858576884	4.8658497292187	0.00868094941703373	0.00680555532544422	0.00775516038066409	0.00754598697979214	0.0337290605756923	0.000245828052569344	2.5590337439395	2.54946715449503	13.341893453274	8.2977858576884
variance	92.8346100901876	68.8532501400536	23.6764935873377	7.53588827810982e-05	4.63155832876822e-05	6.0142512529822e-05	5.69419194991925e-05	0.00113764952731872	6.04314314300362e-08	6.54865370262099	6.49978277184899	178.006120918515	68.8532501400536
median	-14561.5867121012	-14012.5379489884	-549.106614905283	0.359880575080883	0.180340777219235	0.233535177025018	0.226158650301587	0.676813321411983	0.00768732700079623	26.2902921008448	75.6249829556646	524.150355644068	-14012.5379489884
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.359698531181366	0.180120176105892	0.233503041520985	0.226190470317612	0.675780164573959	0.00767854249923278	26.3960026971345	75.731505566777	524.64014128409	NaN
HPD95.lower	-14580.3795383993	-14029.6311814665	-558.493876642752	0.344115759902828	0.166786600949197	0.219630430061508	0.211665727737011	0.607315487073913	0.00721009657719727	21.3677842472508	70.9633441412974	501.079935429367	-14029.6311814665
HPD95.upper	-14543.148755544	-13997.1508823293	-539.531952644231	0.378069508373892	0.193428252542617	0.249597950106496	0.240906387500799	0.741882230631553	0.00817785274734848	31.1729260253141	80.9202449992894	552.970522909017	-13997.1508823293
ACT	23718.2744461175	20336.9173954475	31758.7381265453	20628.401689768	22252.2226184572	23346.5559859509	22153.0906517745	26244.9993825361	40713.340983894	24647.6880564471	22999.4150517099	49999.7512682944	20336.9173954475
ESS	1518.66022470687	1771.16321513226	1134.17604491952	1746.13625145115	1618.7147062839	1542.83998126642	1625.95822705735	1372.45192788872	884.722283397213	1461.394671886	1566.12678709505	720.403583744242	1771.16321513226
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07	4e+07
log.every	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
