trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-20724.5582639367	-20056.9216387709	-667.636625165768	0.278832090114848	0.190099745723598	0.355115016460256	0.175953147701301	0.160219211388075	0.0557444183160676	0.333262583409304	0.450773786886548	1.80804644394919	5.27871454775064	2.19142955158701	0.404285224206484	0.00946445603739998	67.1303094094118	113.558191705775	993.095282379491	-12558.9500681218	-7497.97157064907
stderr.of.mean	0.256111572993314	0.210693657976673	0.152504697132194	0.000186585257629762	0.000162893288239598	0.00019779920476064	0.000155957585496259	0.000189614398957344	0.000100159589148962	0.000260847996952	0.000305463807844802	0.00186610523738115	0.00770514663716708	0.000540623568570666	0.000270311784285346	8.98425795584144e-06	0.155415995629514	0.201176500251041	1.00426894731161	0.198375923095142	0.174398978089514
stdev	9.40800040854015	8.44225277179843	4.53710099866214	0.00770984521391439	0.00660686726168729	0.00839190824492545	0.00653391993996041	0.00768067567980743	0.00424941082551196	0.0110668415423749	0.0129597297960887	0.0761512891341437	0.326901635782859	0.0226183722157136	0.0113091861078569	0.000278269664791436	6.36074477284242	6.60115503115974	30.0551022927578	7.78249561495613	6.30944977710699
variance	88.5104716870916	71.2716318629383	20.585285472061	5.94417132225187e-05	4.36506950135553e-05	7.04241239912477e-05	4.26921097818123e-05	5.89927788983853e-05	1.80574923639783e-05	0.000122474981724035	0.000167954596387629	0.00579901883679195	0.106864679477509	0.000511590761688564	0.000127897690422144	7.74340063431381e-08	40.4590740652421	43.5752477454056	903.309173828133	60.5672379968114	39.8091564898354
median	-20724.2659421841	-20056.5261747737	-667.595180850246	0.278799347022206	0.190163023952321	0.355028568352064	0.176013923837504	0.159926917529992	0.0557210100737511	0.333212436374908	0.450741472293173	1.80669090366609	5.25881980884195	2.19067084860441	0.404664575697785	0.00945480780634041	66.641959688045	113.126893131762	991.21725307289	-12558.8583216826	-7498.01722843986
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.278725484200431	0.189984910686536	0.355016042576563	0.175831932170766	0.160035250250946	0.0555823652529948	0.33307889169437	0.45058723519405	1.80644575234811	5.26866713182558	2.19131292320083	0.404126786229051	0.00946037617197846	66.8328940534304	113.368768873267	992.641887713861	NaN	NaN
HPD95.lower	-20744.0775514672	-20074.3008233861	-676.12458569574	0.264205298427486	0.177471734951009	0.339064391631507	0.163625924319889	0.14567700367728	0.047368189699969	0.310897896211889	0.425643267886496	1.66556006253323	4.67219002869737	2.14728929578523	0.381779753064953	0.00888847390300375	55.7601596527368	101.681343228908	937.399760817873	-12573.8526870432	-7509.82266312639
HPD95.upper	-20707.1504512517	-20041.6226911827	-658.110262162123	0.293817878298602	0.203194095726211	0.372223224294606	0.188364584818309	0.175172317044442	0.0636991718013713	0.353537990705301	0.476732598547329	1.9607477159049	5.95545461288858	2.23644049387009	0.426355352107371	0.00995858170539407	79.6144350403485	127.520021173547	1058.21547615332	-12543.3674320422	-7485.84346852754
ACT	33348.4867346449	28028.4191515387	50841.9180063984	26355.7703497066	27354.4254451439	25000	25637.6236522305	27425.6009632802	25000	25000	25000	27022.7861140897	25000	25708.6715707376	25708.6715707395	46907.8011875779	26865.0634258537	41795.2581687319	50243.053697756	29238.3278629435	34380.9027468057
ESS	1350.13622531858	1606.40526162276	885.588147841583	1708.35454257558	1645.98595171712	1801	1756.20800939883	1641.71425305441	1801	1801	1801	1666.18644761148	1801	1751.35459162537	1751.35459162524	959.861661815082	1675.96849805573	1077.27531717185	896.143778816751	1539.93074470802	1309.59330333998
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
