trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-6290.38994937514	-5765.46224093377	-524.927708441366	0.245007678601333	0.186085771108278	0.328482220577937	0.240424329712453	0.178543454654645	0.597593806282088	0.0421145659227372	0.181748173140531	2.89780669128067	11.6216847725283	1.21763015093485	0.891184924532575	0.0030166744951173	21.7271472417253	90.679454433202	526.755419432901	-2508.7514578665	-3256.71078306727
stderr.of.mean	0.320845406557304	0.20300934937478	0.284829569999086	0.000414931462823431	0.000373404030869265	0.000473892915593078	0.000409615340483914	0.000396097969657293	0.000427321580321611	0.000153445384000895	0.000280026097788977	0.007579336136564	0.0417763970988492	0.00137193455313789	0.000685967276568951	4.71236436084453e-06	0.0702816378378344	0.139114312630623	0.738994153661734	0.149694834029245	0.185118597075288
stdev	11.3979174670985	8.4089853041239	8.60619125834809	0.0176040483487313	0.0158421888962201	0.0200883415915816	0.0173785044141841	0.0158879452008893	0.017150829629567	0.00651013528947768	0.0110522554609677	0.321563949119321	1.60104139762754	0.0533900865913826	0.0266950432956913	0.000167100553011986	2.36665910598914	5.34220303668755	23.2122100119658	6.35101295494562	6.89613180871771
variance	129.912522586789	70.7110338449717	74.0665279752671	0.00030990251826447	0.000250974949023519	0.000403541467900069	0.000302012415673818	0.000252426802706461	0.000294150956982433	4.23818614873026e-05	0.00012215235077449	0.103403373373214	2.56333355691714	0.00285050134623533	0.000712625336558834	2.79225948169115e-08	5.60107532396131	28.5391332851937	538.806693639604	40.3353655538871	47.5566339232082
median	-6289.97511195904	-5765.01706323308	-524.643996726719	0.244811541366567	0.186332497243853	0.32786646706813	0.239743651949553	0.177933143042534	0.597822760432646	0.0416181642042298	0.18137587833809	2.87156674261202	11.4857607032142	1.21443690397387	0.892781548013066	0.00301633953856956	21.5686515711176	90.2155335882998	525.054316401529	-2508.40113455093	-3256.4281203131
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.244374759164478	0.185408870769086	0.327868011172418	0.239796801539955	0.177833647482028	0.597347568545638	0.0416133541394868	0.18141166712001	2.88023592172703	11.5131231546324	1.21646781912143	0.890782361468751	0.00301204760468086	21.5996633170574	90.5239184391423	526.248217019399	NaN	NaN
HPD95.lower	-6314.83638232491	-5782.74227834951	-542.505840654766	0.211220586648196	0.154830779897429	0.292766397724835	0.206759970505782	0.149141766023583	0.56163778912204	0.0297637358598907	0.16115806509416	2.33861167464287	8.76062941847391	1.11411205366961	0.839013309789055	0.00270294937404081	16.9604911791441	80.7645297841049	483.039731243598	-2522.21633297606	-3270.08392591022
HPD95.upper	-6270.22766430562	-5749.91606804136	-509.111365878388	0.280322135854508	0.215969379457263	0.369616954557713	0.273915425939115	0.212596831646678	0.627278783820801	0.0548610747244806	0.203132266131977	3.58762562456462	14.8758362851518	1.3219733804219	0.942943973165199	0.0033594661801572	26.0287012763961	101.50950591164	571.948041850816	-2497.33068937778	-3243.97298142578
ACT	35657.6744790705	26227.5226901191	49290.1955928973	25000	25000	25042.9013620757	25000	27969.3353309657	27935.1987616104	25000	28887.3409596019	25000	30638.6215338528	29713.7809755289	29713.7809755294	35787.744736888	39684.8473394735	30515.1302791706	45610.1397157546	25000	32426.5969028368
ESS	1262.70152660762	1716.70807540518	913.467667523073	1801	1801	1797.91468045251	1801	1609.7987123116	1611.76587230426	1801	1558.64120768215	1801	1469.55044796162	1515.29016240245	1515.29016240243	1258.11224850922	1134.5640217498	1475.49755115199	987.170841409362	1801	1388.52066823149
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
