trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-12128.7797454708	-11643.1431564862	-485.636588984564	0.146927028620533	0.0146337782414768	0.717727194289808	0.120711998848178	0.0342664188131191	0.467009328736796	0.0727841976243586	0.425940054825728	4.50418486103422	3.5108584301185	1.57641730715793	0.711791346421033	0.0113021481812762	15.9111269062222	55.8067952502626	392.331893388535	-5236.63676400072	-6406.50639248553
stderr.of.mean	0.261180050241921	0.211220006963851	0.144725354463788	0.000177181913882039	6.63591639108072e-05	0.000288202013841016	0.000270303107120454	0.000121887040509801	0.000301486561476534	0.000189951952650831	0.000293546203819657	0.00900730760108591	0.00800910413200111	0.000872263501237954	0.000436131750618968	9.71828168518542e-06	0.0447141367915887	0.0342576784192637	0.28067794251209	0.15835717420866	0.167031350419214
stdev	10.2027123576253	8.96130457186684	4.82338600236048	0.00742990635070819	0.00281538045323969	0.0118737832816757	0.0106703532370455	0.00509595103191858	0.0127909895494817	0.00805897758547206	0.0124350282593679	0.382147638124244	0.33942871312286	0.0344468325126598	0.0172234162563299	0.000367305297422621	1.5278783410788	1.33681204221583	9.42255169367411	6.540221230223	7.08653893952843
variance	104.095339452439	80.3049796297616	23.265052527767	5.52035083802938e-05	7.92636709648411e-06	0.000140986729420201	0.000113856438203328	2.5968716919712e-05	0.00016360941365495	6.4947119723141e-05	0.000154629927811277	0.146036817323938	0.115211851292241	0.00118658427015524	0.000296646067538807	1.3491318151472e-07	2.33441222513772	1.78706643621327	88.7844804199609	42.7744937402596	50.2190341414527
median	-12128.5131458419	-11642.6183886564	-485.545766673567	0.146735523012617	0.014480482026211	0.717777578546877	0.120248132761139	0.0340597647898927	0.466891030000874	0.0726113965332573	0.42583673158276	4.47693212076836	3.48893638449526	1.57594030250081	0.712029848749598	0.011297726811757	15.8016319328193	55.7151270095857	391.872345167003	-5236.33972966359	-6406.05457097757
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.146739118462212	0.0143636084172478	0.717628853654397	0.120241964117591	0.0338843804762699	0.466834088506248	0.0723379035279322	0.425758887384	4.48808096393808	3.49468179583436	1.5760417445613	0.71158241180325	0.0112961854144559	15.8387627921937	55.7908554609244	392.219029283273	NaN	NaN
HPD95.lower	-12149.0213464257	-11661.3389205261	-494.517109790807	0.132647506415197	0.00927988112671309	0.692896124270842	0.102252737139647	0.0244496224236848	0.441639755055037	0.0590493677320735	0.401508017538133	3.75294129102726	2.86891309682637	1.51027548621882	0.676409143562843	0.0106106311928432	13.0004108617693	53.3217315623323	374.153838516897	-5248.78090355691	-6421.4181194191
HPD95.upper	-12109.9613024154	-11626.7030077196	-475.615358057152	0.161888467433079	0.019945912613676	0.739642606946763	0.143202138551831	0.0440709328411619	0.491321931385924	0.0912339197597414	0.449233804419399	5.23535687408485	4.15334791589325	1.64718171287431	0.744862256890587	0.0120182602382711	18.9723674469529	58.6048948553818	410.30319521938	-5224.02541664578	-6394.1352176794
ACT	29489.0713427998	25000	40513.2968462652	25590.8362120519	25000	26511.1255289431	28877.3184412073	25744.0548456073	25000	25000	25076.7796250777	25000	25054.3479823147	28854.2103544686	28854.2103544675	31501.915466041	38541.1379224794	29552.0449102949	39929.317856454	26381.7128172607	25000
ESS	1526.83682292333	1801	1111.36351531338	1759.41886489804	1801	1698.34358601051	1559.18216892848	1748.94748593509	1801	1801	1795.4857311492	1801	1797.09326428219	1560.43085036382	1560.43085036388	1429.27816718119	1168.23224292345	1523.58322872996	1127.61756065718	1706.67463147206	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
