trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-25128.0511057053	-24530.3689793911	-597.682126314165	0.202592487562917	0.106165031657669	0.42584947290381	0.265393007875606	0.0628664318405253	0.0960933801655886	0.452313097635889	0.388727090357999	3.61759967697058	4.57580932512156	1.76345161924201	0.618274190378996	0.0181300309560584	38.5655971634165	76.2760548022514	631.178188096157	-12315.3664244102	-12215.0025549809
stderr.of.mean	0.226977277212209	0.201487832364383	0.121650273510358	0.000168306040471236	0.000114091576166637	0.000206450261916695	0.000196529489793284	7.77161222838872e-05	0.000108240612038694	0.000238021391189146	0.000230500350834211	0.00359384661003175	0.00491183328593296	0.000538839170599221	0.000269419585299611	1.30297374190364e-05	0.0908608406267934	0.0747527719888652	0.402730309968074	0.182380817552178	0.167118080358238
stdev	9.27045979627799	8.52377968113297	3.59494010241464	0.00631685701509204	0.00484049488403129	0.00875894145905322	0.00832855235299632	0.00329610590740533	0.00442827460481854	0.0100844680482403	0.00941775150600063	0.152473974979924	0.208391405313285	0.0228610063620447	0.0114305031810224	0.000432981710745536	3.52227692467085	3.04909958522523	13.1685628533886	7.20316695302379	7.01962370887614
variance	85.9414248344065	72.6548200524953	12.923594339949	3.99026825491175e-05	2.34303907223331e-05	7.67190554831213e-05	6.93647842966006e-05	1.08643141528323e-05	1.96096159756808e-05	0.000101696495815979	8.86940434287772e-05	0.0232483130461786	0.0434269778084458	0.00052262561188545	0.000130656402971363	1.87473161840131e-07	12.4064347340687	9.29700828062064	173.411047623646	51.8856141531341	49.275117014216
median	-25127.4402059462	-24529.9126752025	-597.64477031359	0.202496326739439	0.106120492604822	0.426004504075743	0.265470064771822	0.0628345906604179	0.0960845640783822	0.452214229789695	0.38884275867997	3.61215181317737	4.57277321150708	1.76186686732442	0.61906656633779	0.0181178324544195	38.2917828072604	76.1663460232229	630.896367295074	-12315.1252237152	-12214.7996402689
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.202494051062591	0.106054673736386	0.425759322926803	0.265262343162842	0.0627802438660918	0.0959914544723601	0.452200636365127	0.38861293035643	3.61439398654425	4.57106544650774	1.76330376315469	0.61816826545515	0.0181248629565686	38.4081215463872	76.2155635373731	631.041051288374	NaN	NaN
HPD95.lower	-25145.8129345913	-24547.8549354842	-604.626187463293	0.190292033358098	0.0969876475434563	0.40837556474573	0.248155638975128	0.056528243220009	0.0877349129155331	0.433269415885031	0.37100088523117	3.329452628322	4.1821600282957	1.72314760099007	0.593880949498623	0.0173409387383547	32.0251304888296	70.4869799377351	607.39204455419	-12329.6123654843	-12228.768148113
HPD95.upper	-25110.215953673	-24514.8621272801	-590.888162121834	0.214976867421197	0.116058959257609	0.442656557383876	0.280612271087415	0.0692034342285283	0.104861618472904	0.472316668260553	0.407819618185973	3.90966839760425	4.97116075894785	1.81223810100275	0.638426199504964	0.0190285401089447	45.2006635312757	82.4605929224897	658.676981560154	-12301.7155089677	-12202.0776795253
ACT	26975.8162098172	25144.6501611094	51529.418517435	31945.5001969146	25000	25000	25056.983847225	25016.8319066031	26885.8498903907	25069.0784627656	26956.351269054	25000	25000	25000	25000	40751.594209248	29944.6254684894	27047.2905046493	42088.5777628874	28848.5330653413	25505.3678910646
ESS	1669.08758755608	1790.63934918606	873.772716545709	1409.43167965636	1801	1801	1796.9042193794	1799.788245294	1674.67274360155	1796.03730016938	1670.29282081247	1801	1801	1801	1801	1104.86475127352	1503.60872094993	1664.67691069686	1069.76767553552	1560.73793762821	1765.31466600699
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
