trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-21144.2865105343	-20630.892422622	-513.39408791233	0.0365529357999614	0.252522824593417	0.230009814320559	0.48091442528607	0.127613797429695	0.292098780396817	0.350596612576741	0.229690809596746	2.51489887416225	2.54509550641421	0.050985648173006	1.4745071759135	0.0202460313166247	20.3539612945921	121.578012678126	570.537046138596	-969.284879971106	-19661.6075426509
stderr.of.mean	0.252068934939004	0.207575175396267	0.110783994309619	0.000235943873318646	0.00056543493442099	0.000672261272228163	0.000672442632759773	0.000100304867825997	0.000154645688966112	0.000168714160455285	0.000137061136185864	0.0119973235838541	0.00214166391717598	0.000140076061143912	7.00380305719377e-05	1.35674889213218e-05	0.0463477500745356	0.356169038303974	0.794321093382897	0.0544219505614834	0.196481136344483
stdev	9.46732468245714	8.60834586609536	3.59827293657936	0.0100102492233901	0.0237976460659665	0.0249524489645386	0.0285293203323283	0.00423801942755391	0.00656105990844275	0.00715793451178784	0.00553416002261096	0.491001791358692	0.0881721917313744	0.00551245761466054	0.00275622880733018	0.000476107142091959	1.89790748137342	15.1109702020655	32.3066353929696	2.30892746092939	8.26914148228603
variance	89.6302366430622	74.1036185503211	12.9475681261195	0.000100205089514383	0.000566327958281012	0.000622624709327904	0.000813922118624603	1.79608086683244e-05	4.30475071221748e-05	5.12360264750435e-05	3.06269271558653e-05	0.241082759117444	0.00777433539471425	3.0387188953429e-05	7.59679723835674e-06	2.26678010750973e-07	3.60205280785318	228.341420447711	1043.71869041427	5.33114601983382	68.3787008540637
median	-21143.73674927	-20630.3493391857	-513.406029487147	0.0355102076813448	0.252862033187364	0.228653001838855	0.481118998201489	0.127568487444816	0.29218090007567	0.350510312446438	0.22969723589923	2.47921539735716	2.54276037376566	0.0505342647831976	1.4747328676084	0.0202356984277898	20.2985229098055	120.194949540304	567.90351388293	-969.160628111947	-19661.3471067377
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0351865340369163	0.251392257190174	0.228662175534789	0.480066016453033	0.12754334301512	0.29202511403467	0.350523607898044	0.229624141356613	2.4686145384452	2.54356742399837	0.0506923493553273	1.47450459998241	0.0202404320908216	20.2666966994587	120.669330752872	569.637787089712	NaN	NaN
HPD95.lower	-21163.9533977157	-20648.3816856337	-519.901805391038	0.0174186233280683	0.204015973322609	0.183552184726627	0.425017438707914	0.119858359450254	0.279774162303143	0.336713181855315	0.218314764939694	1.70016990861627	2.37037617614375	0.0406307674627495	1.46911034454265	0.0193274687612417	16.8504770643958	95.7161548579596	511.995823543636	-973.980854221276	-19678.5873637315
HPD95.upper	-21126.6101368231	-20615.1960559898	-506.015274227241	0.0553918895296426	0.296414608026414	0.280038182718366	0.535376574924689	0.136563884324322	0.304739074462092	0.364848355563278	0.239986442835228	3.56358657103017	2.71311787931273	0.0617793109147046	1.47968461626862	0.0211615335250695	24.1853084520367	153.408412575511	636.770433486705	-965.172217475525	-19646.367924137
ACT	31900.4264951529	26165.1838915542	42655.8120370066	25000	25404.441502457	32663.4620095262	25000	25207.5427980599	25000	25000	27601.8130108115	26866.739942375	26549.2187887647	29056.9278911188	29056.9278911054	36542.8098618579	26836.1133179552	25000	27203.2698755989	25000	25405.8223450928
ESS	1411.42313588946	1720.79814866249	1055.54197305957	1801	1772.32788194322	1378.45155503935	1801	1786.17171696185	1801	1801	1631.23342594793	1675.86391562845	1695.90677444167	1549.54440361749	1549.5444036182	1232.11652771659	1677.77648970781	1801	1655.1319089911	1801	1772.2315533981
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
