trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-6911.797466221	-6396.91535177192	-514.882114449084	0.0415150878246323	0.427420893093019	0.381620040194873	0.149443978887475	0.224833754058966	0.534389990936504	0.225705839150725	0.0150704158538085	0.141157650898536	0.669184287203578	0.111553195979052	0.0781048659188339	3.42716229398807	3.06961701598087	3.09720763956876	0.195440046104735	0.317350477692195	2.4833782383274	0.00394233235977309	85.054786584099	-815.858642648562	-1182.69265827448	-4398.36405084888
stderr.of.mean	0.2758670185754	0.20164688015279	0.205888868670792	0.000251061148779261	0.000687418324132244	0.000691238391663904	0.00046629757629013	0.000494144307152746	0.000643858498942972	0.000495111655438882	0.000131683781273928	0.00022071045238316	0.000323469007643736	0.000215486029011491	0.00013869207710867	0.00673559927699077	0.0400235117780467	0.0389314295282087	0.000560248019272332	0.00064571409567729	0.000847071198110964	5.12230430944783e-06	0.14336249851964	0.0781500768506957	0.116806464966053	0.223352473969445
stdev	10.1906911126449	8.30687330515095	5.94869111064789	0.0102816599070671	0.0291646850096241	0.0293267567239867	0.0197833276417528	0.0209647641930422	0.0273165984281046	0.0210058052986825	0.00529824461293125	0.00936395000847864	0.0137236256106702	0.00862654102855143	0.00572105621616085	0.241681912536464	1.5849117268921	1.63805957652331	0.0225589371913808	0.0273953247179945	0.0346545684648673	0.000176622203077482	5.16811090953451	2.9873018642532	4.67494434286678	8.47441823803999
variance	103.85018535334	69.0041441078295	35.3869259299012	0.000105712530444592	0.000850578851710591	0.000860058659947896	0.000391380052580939	0.000439521337669866	0.000746196549682326	0.000441243856246157	2.8071395978455e-05	8.76835597612871e-05	0.000188337899901842	7.44172101172811e-05	3.27304842284727e-05	0.0584101468472829	2.51194518204009	2.68323917623973	0.000508905647204663	0.00075050381640436	0.00120093911548618	3.11954026199432e-08	26.7093703732497	8.92397242817065	21.8551046089021	71.8157644732249
median	-6911.44131021823	-6396.6674986151	-514.82550084568	0.0410534475540127	0.427081974306038	0.381467169437132	0.148990295443775	0.22488934031283	0.534800446973935	0.224532845396866	0.0144140493128069	0.14083442884047	0.669519085716033	0.111254105812925	0.0779378469674596	3.42103794728275	2.74339259640282	2.74669436534187	0.193892720762328	0.316124332558385	2.48456724998059	0.00393944970652984	84.6398044770475	-815.746584950893	-1182.63827534263	-4398.25024155104
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0402160123499719	0.426422604836059	0.380484048686665	0.148130059628611	0.223852320279779	0.533688984678772	0.224728623948415	0.0141503785139629	0.140847118642397	0.669043356633629	0.111220519093788	0.0778951536851986	3.41865417157252	2.71804459539067	2.73432684673307	0.194151401461648	0.31617129448688	2.48313619793956	0.00393837610149402	84.900398373439	NaN	NaN	NaN
HPD95.lower	-6931.61361125325	-6413.12398389006	-527.018545062132	0.0228938848221302	0.371357565447411	0.325556491594934	0.110504839773301	0.186184321684314	0.476485658824692	0.184647978469552	0.00581751218811968	0.122352457914544	0.64067026816158	0.0955126911503	0.0662804846680342	2.9428714265587	0.65289773033262	0.74464363470855	0.154569461912616	0.265631596400902	2.4125277201983	0.00360485193317899	75.1088408415751	-821.86617922995	-1192.11742305483	-4415.02889665146
HPD95.upper	-6892.40909108098	-6380.78159008119	-503.241741595562	0.0619219062505473	0.48177214593637	0.442268617967332	0.187129185152758	0.267396850642999	0.583755270396356	0.266033389979414	0.0254212231297804	0.159627878184741	0.695136635994706	0.129259331842769	0.0885196087086861	3.90497183909708	6.08614382646577	6.44866770349151	0.241250455550382	0.370478858405821	2.54716570556806	0.00427949849666333	95.1145137611925	-810.20029663119	-1173.6358166474	-4382.13488987127
ACT	13190.6032466403	10606.6981993955	21562.309152706	10732.5995577514	10000	10000	10000	10000	10000	10000	11119.1845397923	10000	10000	11231.4860675288	10578.4794159528	13980.9459348323	11478.697153771	10167.4884271398	11101.8603606424	10000	10754.5244477613	15139.534689832	13850.9589825656	12318.929508862	11237.0740491875	12503.5725338189
ESS	1365.36590959836	1697.98363839809	835.253769549991	1678.06503010658	1801	1801	1801	1801	1801	1801	1619.72309529961	1801	1801	1603.52778712592	1702.51312044339	1288.18179284491	1568.99339347787	1771.33223500176	1622.25063322251	1801	1674.64401494285	1189.6006296743	1300.27097926356	1461.9776813435	1602.73038347578	1440.38833311741
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
