trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-56650.1133665628	-56133.2500212181	-516.863345344654	0.0753084133208946	0.184609705500216	0.55266640204865	0.187415479130242	0.0374282056955867	0.405532426108614	0.170266328716024	0.386773039479778	0.0761698708263763	0.264742410715491	0.275613882037991	0.38347383642014	5.26488787675069	2.99120440703864	3.14363928992895	0.200669453651403	1.80463800391757	0.990886206496026	0.159582704552248	46.2793212738627	-10331.5209999052	-24120.9752225126	-21680.7537988003
stderr.of.mean	0.234161715792757	0.205437555854524	0.091105666786124	8.6131862838263e-05	0.000181342274027951	0.00024351061511699	0.000176405450240391	4.57769773511128e-05	0.000109755719946338	0.000116141918488377	0.000108012906519046	6.12499741027544e-05	9.78326827754166e-05	0.000140354372199518	0.000124627495784991	0.00529152186300599	0.0355483174435741	0.0400967958344166	0.000135298735394001	0.00045779945022497	0.000405935454810538	0.000108099521577761	0.0082747411547009	0.285597222006802	0.277835999352305	0.522599754367791
stdev	8.95539535119882	8.46215148382192	2.67601210502988	0.00365426489342002	0.0073182176237786	0.0102319784828846	0.00741198146646238	0.00173418527013811	0.00417639063344836	0.00425045537088148	0.00402714151059125	0.00254315621963589	0.00415068856419166	0.00577910428732203	0.00528297767043469	0.113933285469917	1.50818714670241	1.70116271177694	0.00533356515277287	0.017724875318155	0.0162102020898086	0.00298986506350851	0.299674925384843	7.85739768526127	8.25106359389018	13.0930228225975
variance	80.1991058962735	71.6080077351496	7.16104078626644	1.3353651911282e-05	5.35563091889837e-05	0.000104693383674213	5.49374692591818e-05	3.007398551164e-06	1.74422387231552e-05	1.80663708598552e-05	1.62178687463271e-05	6.4676435574727e-06	1.72282155569114e-05	3.33980463637438e-05	2.79098530663115e-05	0.0129807935379697	2.27462846947836	2.89395457194028	2.84469172388731e-05	0.000314171205044142	0.000262770651792434	8.93929309798875e-06	0.0898050609044115	61.7386983843492	68.08005043042	171.42724663306
median	-56649.9096563936	-56133.0995828087	-516.775055486155	0.0752241482582772	0.184419010551305	0.552967157583661	0.187131452702789	0.0374010308953787	0.405537192229736	0.170282680418072	0.386901173334138	0.0761320733003341	0.264621986142628	0.275595450864768	0.383476950224048	5.26620213022303	2.66772598355465	2.74132946210534	0.200646973089067	1.80453815804198	0.991249035389421	0.159509958758455	46.1970784225955	-10331.3245059143	-24120.8653175796	-21680.5724116413
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.075219884125765	0.184464660661474	0.552571618457853	0.187269356240586	0.0373880012546336	0.405510936918581	0.170213378885742	0.386752075889179	0.0761274147853741	0.26470990064087	0.275553328007791	0.383437430490647	5.26365551322241	2.66638414608292	2.76640284550691	0.200598531912688	1.80455099966801	0.990753616418917	0.159554732033913	46.278362945741	NaN	NaN	NaN
HPD95.lower	-56667.9429232715	-56150.6291349809	-522.15190180096	0.0674747594884355	0.169649838085514	0.530341653673152	0.17310814796896	0.0343177815601104	0.397233311154446	0.161791476092579	0.377989689305529	0.0715874840700889	0.257192983940984	0.264197879178284	0.373298389137554	5.03284753345677	0.828624052271004	0.65038697118966	0.190585147264958	1.76895863228688	0.958630064910806	0.153924580142831	46.0003051639225	-10347.607848743	-24136.9178390018	-21704.7902339211
HPD95.upper	-56632.9506301952	-56118.1826674855	-511.585164130955	0.0817373930896436	0.198598066131822	0.570609565191642	0.202152275281025	0.0409803974799333	0.413695771932565	0.178333565861318	0.393815319213394	0.0812649373745224	0.273376834488496	0.286604539039079	0.394289430183678	5.47876495271373	6.10805992912625	6.33485814453388	0.211862218741225	1.83707322335464	1.0204372665344	0.165553959405324	46.8326170954293	-10317.3775539451	-24104.0355012074	-21653.1049818688
ACT	12306.5020354472	10608.9025230039	20863.4922934482	10000	11052.4827524992	10195.0399084921	10195.9505308842	12542.2545478169	12431.5268019498	13439.3864206468	12948.8110931056	10440.9042419426	10000	10617.0337934339	10017.1126572495	38826.8643399293	10000	10000	11583.095486952	12007.6086998739	11287.8045809273	23529.7188436496	13723.9900333338	23780.6028180381	20409.3670321331	28676.8156057307
ESS	1463.45403008301	1697.63083042265	863.23036175759	1801	1629.49813207603	1766.54531631586	1766.38754233325	1435.94598015352	1448.73596678207	1340.09094137894	1390.86128220599	1724.94638229238	1801	1696.33066545745	1797.92327552251	463.854094482686	1801	1801	1554.85207044074	1499.88232046478	1595.52726758143	765.415010679598	1312.30057412283	757.33992690627	882.437949772993	628.033469532124
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
