trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-15612.9639221515	-15093.9140040323	-519.049918119215	0.414214224419696	0.208595387233487	0.214855142441637	0.162335245905179	0.464058729888911	0.141996180367574	0.0810374844431619	0.312907605300353	0.420752971505394	0.00584719433700765	0.503915255167797	0.0694845789898026	1.84530941673776	3.05207479737414	3.10162320327282	1.15768704013051	0.17562728939519	1.66743656114158	0.0120928051888255	60.7938952497629	-6515.88634640415	-1625.8825025529	-6952.14515507528
stderr.of.mean	0.302271915675681	0.229075143901403	0.183678044900268	0.000303392303556879	0.000245043435935692	0.00023806856696868	0.000238114416805435	0.000584900155753391	0.000373928604857353	0.000288143344936908	0.000565025343121789	0.000245413945202036	4.15014866735041e-05	0.000257805930321291	0.000155737849415084	0.00249913586211528	0.0379601065907651	0.0466387110982672	0.000658704627817146	0.000290275194343371	0.000677787838693266	1.03504306086081e-05	0.0415234263476067	0.226235982930849	0.0871064635414227	0.219819773538638
stdev	9.94038751307752	8.79792498138157	4.69037896533242	0.0128718433258966	0.0103963109097534	0.00990528954100017	0.00979224709517219	0.0248152081575091	0.0157807719381649	0.0117384514742561	0.0229813862567585	0.010412030284211	0.00156240594157559	0.0109377776056885	0.00617011058591848	0.0827304063897055	1.610510678558	1.617844909338	0.0279464662349806	0.0123153315993119	0.0287560981790764	0.000342286097380047	1.58667152165793	8.2157245959755	3.13220871237307	8.35281951237308
variance	98.8113039101476	77.4034839780179	21.9996548384329	0.000165684350606428	0.000108083280532258	9.81147608910473e-05	9.58881031729082e-05	0.000615794555900506	0.000249032762964374	0.000137791243013465	0.000528144114282326	0.000108410374639328	2.44111232627072e-06	0.0001196349789515	3.80702646424633e-05	0.00684432014140582	2.59374464574933	2.61742215067087	0.000781004975022912	0.00015166739240101	0.000826913182484682	1.17159772459663e-07	2.5175265176403	67.4981306369168	9.81073141786579	69.7695938062804
median	-15612.6446202701	-15093.4376713329	-518.817714641086	0.414253465192455	0.208588162462649	0.214740317054562	0.161891087802813	0.463562627423104	0.141100129267253	0.0803095339997102	0.312281561278939	0.420839213000734	0.00568977604958969	0.503774025232881	0.0692067207999228	1.84278865739601	2.72168274035085	2.73871736959511	1.15701509786094	0.175110177918555	1.66767788239459	0.0120903605776825	60.7702970194085	-6515.48592378159	-1625.80844572264	-6951.80244173213
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.414014102043325	0.208335166113042	0.214627160775942	0.162040455784246	0.46339435304456	0.1411191636041	0.0801879564550385	0.312065123995352	0.420624048699136	0.00564105601039856	0.503796567382532	0.0692118869560107	1.84345435837716	2.68673002352958	2.75204497576872	1.15735017448362	0.17519499805094	1.66718840062074	0.0120879663437114	60.773261999859	NaN	NaN	NaN
HPD95.lower	-15633.3962696542	-15110.6592723078	-528.556441203828	0.388355152360359	0.188768208554083	0.194698550463878	0.142914009418868	0.416164338986304	0.112326026066505	0.0585412300698991	0.267406356563779	0.401508462335793	0.00290396373150151	0.482404085365768	0.058504547672937	1.68935152637491	0.663008468159209	0.665851625080875	1.1039043409228	0.153362006212948	1.61066965625323	0.0114586766482623	57.7226909103277	-6530.98746039438	-1631.94076520666	-6969.02550019293
HPD95.upper	-15594.7068073364	-15076.7969757031	-510.534975238173	0.438969268738041	0.229177026596997	0.232968705139065	0.18221646654917	0.512305366801375	0.173624150748592	0.103525564218735	0.356397184138009	0.44173679855143	0.00877074781819192	0.525339170274618	0.0820752199595768	2.01301832846309	6.16957857658092	6.06389086250405	1.21455046322533	0.200472702744373	1.72369068026489	0.0127788871785481	63.7984633259678	-6498.78334257119	-1619.79340099608	-6936.7211028018
ACT	16644.1391362087	12203.0333505427	27603.9352544197	10000	10000	10397.8162131589	10643.3666958539	10000	10106.3250505638	10845.9585400568	10880.6735919713	10000	12700.239652069	10000	11467.6603559749	16425.6206621975	10000	14958.6250800345	10000	10000	10000	16459.2744800217	12327.77452205	13649.099115288	13921.0421590779	12466.3607052217
ESS	1082.06257185269	1475.86255668137	652.4432054345	1801	1801	1732.09447356914	1692.13375003004	1801	1782.05231970005	1660.52635490765	1655.22840546281	1801	1418.08347664259	1801	1570.50343670288	1096.45780639808	1801	1203.98765953685	1801	1801	1801	1094.21590981185	1460.92873192858	1319.50100500241	1293.72498080222	1444.68786246946
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
