trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-7490.9393635989	-6973.07058113454	-517.868782464365	0.191951269266223	0.257934693199909	0.331564843221194	0.218549194312676	0.340693946779605	0.0951162664758156	0.134967241537971	0.42922254520661	0.295590357906221	0.145442383431865	0.135610147299731	0.423357111362182	3.76555624184763	3.07402807471187	3.1072343296193	1.12805835646044	0.567044293568413	1.30550715166857	0.00349805839772699	68.6726394280559	-2597.16525968224	-1562.09315600317	-2813.81216544913
stderr.of.mean	0.31697783678983	0.221587721310792	0.226742484886148	0.00035138387630803	0.000432354004973025	0.000476507635017328	0.00038141358003297	0.000589041101385572	0.000298609526696671	0.000380654111020316	0.000660853406221394	0.000448254144883871	0.000309798073880433	0.000296147695816845	0.000560685580484952	0.00658681699447963	0.0395838604805761	0.0379056116966075	0.00108667098461876	0.000901355956956077	0.00118639968284192	4.35675273930541e-06	0.0777687469680196	0.156888175619289	0.113383148397628	0.14283629259217
stdev	10.1301569814469	8.51889751043451	6.33992438088487	0.0149079530036108	0.0183432240966302	0.0202165036806435	0.0161820052354535	0.0241080675781649	0.012605831599925	0.0153137974991903	0.0256863368228382	0.0188646604011587	0.0121259743227862	0.0121557938311645	0.0207447970193086	0.243479545678883	1.64026736804972	1.60819865636286	0.0461035382138101	0.0382412886641571	0.0484802257887258	0.000149401179213786	2.95790134989567	5.92971684404325	4.42771799624323	6.06002973029815
variance	102.620080468756	72.5716147932873	40.1946411553384	0.000222247062757869	0.000336473870259195	0.000408707021069472	0.000261857293440243	0.000581198922353364	0.000158906990325667	0.000234512393846206	0.000659787899376293	0.000355875412051046	0.000147039253276871	0.000147763323665778	0.000430346603372314	0.0592822891639953	2.69047703868874	2.5863029183273	0.00212553623583225	0.00146239615869539	0.00235033229252584	2.23207123504699e-08	8.74918039571464	35.1615418505302	19.6046866542562	36.7239603320975
median	-7490.08344244911	-6972.6877716667	-517.614883228375	0.191094316494574	0.257498235550227	0.330540054016922	0.218291211887254	0.340570890410183	0.0948051879842524	0.134134264693193	0.429789196816931	0.295416159716463	0.145191646128439	0.135444220130727	0.422592648191753	3.74876152131188	2.67112772314328	2.74236023935711	1.12803774212093	0.565910706147313	1.30659769004181	0.00349704946555326	68.5750489789187	-2596.97000649558	-1561.93596499238	-2813.46776030104
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.1913743357623	0.257282898133468	0.330948695142926	0.217949920427541	0.339839132190285	0.0942832701768211	0.13410369382393	0.428450741454808	0.294985802547844	0.144938493676573	0.135063072999691	0.422849980169374	3.75768802447013	2.72293557527606	2.74933138806561	1.12711493787297	0.565756394729704	1.30460587322903	0.00349487949646708	68.6092567062555	NaN	NaN	NaN
HPD95.lower	-7510.89750199696	-6991.88538055339	-530.35720204353	0.163981801083134	0.22480905015409	0.291053837371681	0.187415040675871	0.292134028790276	0.0712365168411424	0.104915797770821	0.380953168164987	0.259339031214999	0.123192906830883	0.1135426746543	0.381481752957793	3.28419316459497	0.709807353519686	0.853865875652662	1.03332688423213	0.495179782961858	1.20776631869312	0.00321629803591421	63.4662215656418	-2608.31304650091	-1571.02258273981	-2826.20069362327
HPD95.upper	-7471.84902873907	-6958.65500488512	-506.076188366184	0.222120542799981	0.2951418894566	0.370582695698608	0.249687733207032	0.386149480977653	0.119285111369353	0.163867170496937	0.480655723875809	0.332013112054095	0.169966085868128	0.16121384831037	0.460345463115076	4.23702489594828	6.28399974565268	6.36315494877838	1.21107951308924	0.639948283404921	1.39335857422615	0.00379787965076559	74.9081088004179	-2585.66708151141	-1553.90917586572	-2802.75458462744
ACT	17623.7293503561	12178.5888046759	23023.4296891147	10000	10000	10000	10000	10745.8004073559	10100.3561337799	11121.6089371551	11914.5677306728	10163.0255211164	11748.8811099575	10683.7184821762	13149.0012285777	13173.4218788885	10482.8500966016	10000	10000	10000	10779.6620907317	15307.0022564573	12442.716410672	12600.4160689021	11803.4642833248	10000
ESS	1021.91764534991	1478.82486951897	782.246617606019	1801	1801	1801	1801	1676.00358440228	1783.10544316025	1619.37001217802	1511.59491532665	1772.11008302393	1532.91192850152	1685.74265879866	1369.6857796969	1367.14668106565	1718.04421832175	1801	1801	1801	1670.73882728522	1176.5857022986	1447.43313321463	1429.31788137129	1525.8232301718	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
