trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-4557.97437292181	-4051.39867320505	-506.575699716768	0.155197303897701	0.164998834343178	0.345053277071422	0.334750584687701	0.173593559330415	0.47221405434738	0.168360497289942	0.185831889032264	0.212046901450874	0.205888054896403	0.30326386655383	0.278801177098896	1.76092784736446	3.12342202936456	3.03364691074001	1.74101143445642	0.786640217522239	0.475876973899696	0.00162877580744156	65.4433920307934	-2023.3002247485	-1162.91023047391	-865.188217982635
stderr.of.mean	0.314819432497972	0.216167115280119	0.239683666468063	0.000368427343767665	0.000414117759178419	0.000531962559966896	0.000524494372011813	0.000471955310958037	0.00065108797181464	0.00047484466430037	0.000492810818781144	0.000614534285300693	0.000564630532467276	0.000688520096944197	0.000621333437640183	0.00403409274404571	0.0393349530553129	0.0382531997851468	0.00178483203950169	0.00161333743264035	0.00123351905197539	2.97846108065925e-06	0.0990640959215825	0.179207804822344	0.109470982472173	0.0927188836806737
stdev	10.4275302569177	7.8309082793682	7.30963538238722	0.0156310459769608	0.0165622423909812	0.0225692565264861	0.0222524081946096	0.0200233649576999	0.0276233189382888	0.0201459498192789	0.0208493994579312	0.0234526693023402	0.0231490246596913	0.0273595663338401	0.0263609411599519	0.164738194896078	1.66884046504681	1.62294556775504	0.0719119872300008	0.0620968780057985	0.051958123575442	9.66517255487641e-05	3.4891472331034	6.55938474679599	4.57337555288105	3.57838306270955
variance	108.733387258933	61.3231244798775	53.4307694234472	0.000244329598333862	0.000274307873017616	0.000509371340158335	0.000495169670459526	0.000400935144229243	0.000763047749166425	0.000405859294120902	0.000434697457756382	0.000550027697404929	0.000535877342694996	0.000748545869975797	0.000694899218838445	0.0271386728576181	2.78502849777764	2.63395231589574	0.00517133390736779	0.00385602225806702	0.0026996466054809	9.34155605155361e-09	12.1741484142731	43.0255282565	20.9157639476901	12.8048253434866
median	-4557.86008071367	-4051.082206483	-506.282021583739	0.1543738473296	0.164478651126812	0.344482908223746	0.334237625739128	0.172296953319092	0.472111018549565	0.16812627546628	0.185357905008649	0.211284000359434	0.205065655074304	0.30248470786935	0.278340747618216	1.75598473170748	2.74183884832388	2.698421107767	1.74211616016394	0.787426121750154	0.475285379898989	0.00162766600249207	65.2357133928233	-2022.88065812183	-1162.70090178732	-865.054702119818
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.154411254718937	0.164166166943131	0.344314806956423	0.334010851646298	0.172447564703463	0.471405037635811	0.167139960169067	0.18465533101811	0.210752176713352	0.204587015386547	0.302025171429253	0.277543434793634	1.75325884601462	2.75644570011896	2.67690854785491	1.73952381550152	0.784180224280118	0.473020959406337	0.00162591150837936	65.3514958373483	NaN	NaN	NaN
HPD95.lower	-4577.41895390755	-4066.82494193559	-521.725667101929	0.122862478547251	0.13168287480784	0.303387922143239	0.292703156359946	0.136860670319006	0.423792207566583	0.130731776629502	0.147012106262151	0.169753825353429	0.162503600323214	0.25246107154476	0.226982952706682	1.42438800597533	0.83869085036196	0.746232051114408	1.59891235403272	0.660429542740775	0.383026964799821	0.0014447526088298	58.8029421548576	-2035.81798017499	-1172.20959459846	-873.126897240668
HPD95.upper	-4537.20802681333	-4035.86330808604	-493.424237208711	0.184960710965617	0.195588877540596	0.389177765379812	0.376661166371968	0.213765096501415	0.529662398685455	0.208950921282114	0.227627833305486	0.26048817758895	0.252089869068368	0.358374608118184	0.328983917968915	2.07581539216976	6.49704961217683	6.0713713483448	1.88269159452735	0.906727722752238	0.58421135878565	0.00181396373518881	71.8517846866948	-2010.37541178709	-1154.73360911519	-859.100157584397
ACT	16407.1261437268	13715.9960234622	19353.424468515	10000	11253.3495510177	10000	10000	10000	10000	10000	10056.4740573044	12358.9064961347	10708.6739056435	11399.5365397427	10000	10793.8287160315	10000	10000	11088.2879921091	12150.1953288049	10145.1197426307	17093.7365462645	14509.9641701475	13435.6907764393	10313.2767239053	12084.6784807249
ESS	1097.69376076176	1313.06541422093	930.584663675385	1801	1600.41238551691	1801	1801	1801	1801	1801	1790.88613935405	1457.24866561881	1681.81421515774	1579.88879084785	1801	1668.54602512367	1801	1801	1624.23631247824	1482.2806969451	1775.23779481088	1053.60229176667	1241.21602154287	1340.45954909756	1746.29271395912	1490.31685275914
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
