trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-23389.2315408091	-22879.2974344622	-509.934106346914	0.0643416954665874	0.409425107491989	0.102490872959729	0.423742324081691	0.143021180157503	0.219300054952529	0.296856495875196	0.340822269014771	0.195628808903548	0.377482888655242	0.0655516963206816	0.361336606120528	1.61350216828235	3.10274486795848	3.0963734416914	0.0659867064284668	1.86022752252057	1.06933808870063	0.0217111297473027	63.1311811562739	-1121.56410566965	-13108.0995580712	-8649.63377072134
stderr.of.mean	0.268255927703372	0.248835438257741	0.126737091821309	0.000301700568424274	0.000620678912926701	0.000397019057296246	0.00062902586023874	0.000135328424136288	0.000189467102895389	0.000199529259380067	0.000210647645216624	0.000210155182495581	0.000250624723170768	0.000133294176286208	0.000251531984735334	0.00169997470207149	0.040916921875338	0.0388006684056749	0.000148195404895599	0.000584221014192302	0.000570850911462025	1.64717807934062e-05	0.0878234521310273	0.0704017741576699	0.429829177152651	0.367194293959854
stdev	9.36235804618978	8.55996516260153	3.32940342834547	0.0128000690939187	0.0263331720324358	0.0161280250266747	0.0266063663690319	0.00562074111449476	0.0070646826081974	0.00812181805809711	0.00838230656825574	0.00891612790270131	0.0106331048363114	0.00492095448424129	0.0105029154243283	0.053926625391625	1.70558691501693	1.64617269061435	0.00590906437784064	0.0222951315064439	0.0216531386150873	0.000451371471033922	3.72603293793848	2.76687975715493	13.9274426277448	12.3838449846825
variance	87.6537481850545	73.2730035849518	11.0849271886786	0.000163841768809091	0.000693435949289861	0.000260113191261047	0.000707898731363153	3.15927306761718e-05	4.99097403545668e-05	6.59639285688323e-05	7.02630634042233e-05	7.94973367773288e-05	0.00011306291845999	2.42157930359745e-05	0.000110311232410594	0.00290808092612865	2.90902672467698	2.70988452732448	3.49170418214652e-05	0.000497072888889626	0.000468858411884186	2.03736204863327e-07	13.8833214546024	7.65562359055373	193.973658149123	153.359616604645
median	-23388.8504607878	-22879.0237601311	-509.835172600538	0.0633910678667758	0.409249592882929	0.101829791739532	0.423863710035021	0.143034045020268	0.219353819123045	0.296939352629916	0.340854836855426	0.195389991145229	0.377650793527009	0.0654079694107839	0.360989342574895	1.61373330507344	2.70688755203387	2.75054022669958	0.0658565435273813	1.8609664683326	1.06888605104703	0.0217176565009715	62.6990924305778	-1121.6345669393	-13107.9872502674	-8649.50406687992
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0630703245318228	0.408577105643517	0.10121649398321	0.422904703607894	0.142910639122652	0.219186089590932	0.296745340214754	0.340719173972554	0.195426262909326	0.377332925973195	0.0653670899166911	0.361183948302595	1.61260172394447	2.72723591146974	2.72496567576996	0.0657214867268588	1.86009393489466	1.06911892642408	0.0217064386066573	63.0237376490787	NaN	NaN	NaN
HPD95.lower	-23407.4529039325	-22896.4195849293	-516.206959776925	0.0398747213827498	0.359663016326869	0.0716817184261591	0.37529684877818	0.131344375214917	0.2057765747773	0.279911280301463	0.324408145587487	0.178439703907194	0.355960106209676	0.0557248511984898	0.340445010463989	1.50569256144739	0.728885694654576	0.797684203183815	0.0551954706863736	1.81984044281075	1.02872510011381	0.0207891146581893	56.58582263109	-1127.30811642548	-13134.9733991738	-8674.0119591212
HPD95.upper	-23371.0271865906	-22862.8348330383	-503.699202308929	0.0890220210065922	0.464650514875466	0.133475219639657	0.476712220406558	0.153473479282371	0.232908531011031	0.311760630251853	0.356878819039428	0.21249664131536	0.398048443495517	0.0747892349436299	0.381058051460069	1.71493356285489	6.33481410383925	6.58444188324767	0.0788693343662954	1.90521952712884	1.11274830801318	0.0225328233256874	70.4187000396708	-1115.95503103267	-13080.2943324145	-8626.97909450122
ACT	14777.4852359379	15210.8274189353	26082.3669676561	10000	10000	10907.6878568537	10060.9325565292	10434.2984612975	12946.5689745077	10863.7319008752	11367.3310360398	10000	10000	13206.7520807682	10323.7878122735	17887.5475079939	10359.303806606	10000	11321.5112720579	12359.6633869205	12510.5400202614	23970.9511672399	10000	11653.5704624152	17144.3648219915	15825.3456546652
ESS	1218.74593088415	1184.02500429267	690.504815852549	1801	1801	1651.12902352479	1790.0925087021	1726.03841713001	1391.1021549773	1657.80968863462	1584.36487359257	1801	1801	1363.69637968947	1744.5147389206	1006.84568367751	1738.5338181235	1801	1590.77702324509	1457.15942547909	1439.58613863446	751.32604769616	1801	1545.44910146511	1050.49094480877	1138.04781222525
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
