trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	psi.height	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-11073.2992385563	-10559.9262767553	-513.372961801001	0.276292872523415	0.135445374218859	0.519564032840568	0.0686977204171584	0.186750879370751	0.293813554203611	0.145542128975473	0.373893437450167	0.262916984607679	0.173075173575964	0.219631048459129	0.344376793357232	1.60736587894307	3.1060990804777	3.09335430779942	1.01043363919164	1.70955305634708	0.280062988457424	0.00621495589859892	81.2718070288828	-3546.91325046521	-5523.36736158419	-1489.64566470587
stderr.of.mean	0.313851805271114	0.224303067869501	0.260053506407172	0.000344398755681231	0.000281657246219382	0.000422762121909564	0.000193905688721576	0.000300327315232196	0.000322471311577117	0.000232936942489202	0.000350310501616298	0.000521426488089625	0.0004316443100147	0.000482878118806834	0.000559745749631524	0.00255784439621859	0.039590930071397	0.040207424057156	0.000832749291369813	0.000868754736190517	0.000472466247776385	9.54514070248926e-06	0.11041787073841	0.299636757186708	0.307389327569387	0.0983266949173338
stdev	9.6256523123578	8.69278769622276	6.04452162452147	0.0145556450766056	0.0118527721645538	0.0177437692966152	0.00822672037478453	0.0113544376087057	0.0127950302232176	0.00988267597227388	0.0140306195572823	0.0221222489231796	0.0183131142942204	0.020320399876596	0.0237479972534727	0.0857460068763475	1.62419639682396	1.60953883991658	0.0353305548051058	0.0368581362209094	0.0200450421676953	0.000230167852975697	3.48113049707103	10.1057426982856	11.2005836939762	3.55264241516416
variance	92.6531824383992	75.5645579316018	36.5362416693076	0.000211866803596113	0.000140488207984822	0.000314841348851504	6.7678928124895e-05	0.000128923253409991	0.000163712798413053	9.76672843729595e-05	0.000196858285161192	0.000489393897419119	0.00033537015515318	0.000412918651144763	0.000563967373550945	0.00735237769523863	2.63801393545595	2.59061527720003	0.00124824810283658	0.00135852220567911	0.000401803715504683	5.29772405434422e-08	12.118269537638	102.126035483953	125.453075085766	12.6212681300235
median	-11073.0580090024	-10559.6157942973	-513.157009185346	0.276455823007103	0.135057881068951	0.519338507276139	0.0681013529872358	0.186744867008436	0.294147717235896	0.145202639866261	0.374179636751676	0.262190487597592	0.172684711093168	0.218949618967375	0.34377432750389	1.60398965345531	2.78536922039638	2.70676235439463	1.00948903914777	1.70976754196229	0.279624399182106	0.00621697867136547	81.0667829890253	-3546.6279615157	-5523.40405507428	-1489.49443679177
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.275909005038158	0.13492518359025	0.519260640059938	0.0682027999782147	0.18640533487936	0.293534834489323	0.14520802709585	0.373629475418656	0.261985979436365	0.172099328028994	0.218690508888559	0.343558918424697	1.6050831383296	2.75348346255946	2.74221741021832	1.00981575997534	1.70915606370536	0.279346477355396	0.00621069017899876	81.197716021631	NaN	NaN	NaN
HPD95.lower	-11091.6933980812	-10577.669249067	-525.493367884749	0.24681993766677	0.115486901787509	0.483512285482534	0.052610060252542	0.165535247236251	0.268471023613004	0.127200451385335	0.347729555425966	0.218986373867058	0.136147536774928	0.179305702574122	0.297064380166395	1.43771592474165	0.774047456991987	0.811022188040318	0.939404581204789	1.63861581972381	0.242427326803903	0.00573794140032307	74.3980121508914	-3567.51378281259	-5546.84789365854	-1496.29850885569
HPD95.upper	-11054.396633614	-10544.0102875402	-502.173499727895	0.302866081103049	0.16109247989452	0.551453889266678	0.0838230128044407	0.209881890350692	0.318769946696034	0.164736152419276	0.400678670220672	0.304274878917346	0.207632946287891	0.258502091026794	0.389054692637815	1.76961016275103	6.15651475594106	6.10912765819331	1.0770488218721	1.78374043297284	0.321201718610854	0.00665129909297798	87.8703150682767	-3528.35208578059	-5503.03016533129	-1482.65409632856
ACT	19136.4463496442	11984.6305977389	33317.6167053993	10077.0312162201	10164.2270053691	10218.1610826844	10000	12593.0457765267	11433.3081021102	10000	11220.8301123604	10000	10000	10164.4275214303	10000	16017.4288820157	10695.1454286546	11232.6428252018	10000	10000	10000	30956.2045051373	18109.6684469462	15824.3570915527	13557.1571327916	13788.3487852333
ESS	941.136074636701	1502.75804106953	540.55487099356	1787.23272892227	1771.90060695087	1762.54806067988	1801	1430.15441376148	1575.22213511206	1801	1605.05059070104	1801	1801	1771.86565224932	1801	1124.4001851147	1683.9415714486	1603.36265296288	1801	1801	1801	581.789669887055	994.496395820929	1138.11890718859	1328.44960219853	1306.17525568311
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07	2e+07
log.every	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
