trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	kappa.1	kappa.2	r_0	r_1	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood
mean	-2845.9670982721	-2117.51496197347	-728.452136298626	0.143607042445717	0.102789095173019	0.493168539319174	0.260435323062093	0.302689068401555	0.284804796543126	0.0379915486739233	0.374514586381398	2.37160285005761	2.47923946471728	0.0611538579993671	1.46942307100032	0.00022679560352448	108.888766776476	235.693085614808	1565.08823022768	-279.536317871156	-1837.97864410232
stderr.of.mean	0.891679712499487	0.229494262051452	0.96523385978146	0.000591981128216251	0.000508364752539796	0.000880445879966829	0.00073809600252812	0.00047098146218362	0.000423397488938176	0.0001712688781654	0.000465960210230797	0.0268356577009251	0.00843980526006285	0.000707002057571174	0.000353501028785538	1.3314692953585e-06	0.855879837742488	1.6473286090847	9.39320162243586	0.037210243315284	0.227730428332737
stdev	19.4733182412817	7.8125201259178	19.313178437505	0.0243223181434109	0.0205690898505327	0.0347913119268447	0.0297624603330788	0.0199820480597415	0.0179632313618282	0.00726632198807179	0.0197690144142638	1.08509472014442	0.358070556619246	0.0289879573427576	0.0144939786713786	3.10087444922155e-05	19.2057098720327	39.236411903091	192.812729672814	1.50935464419388	7.63359503317958
variance	379.210123326234	61.0354707178707	372.998861358909	0.000591575159869297	0.000423087457279287	0.00121043538559101	0.000885804045078087	0.00039928224466182	0.000322677680958569	5.27994352343355e-05	0.00039081393091137	1.1774305516853	0.128214523517616	0.000840301670905537	0.000210075417726377	9.61542234983507e-10	368.859291688695	1539.49601902902	37176.7487238817	2.27815144194963	58.2717731305839
median	-2845.52589667801	-2116.9827071862	-728.589882434835	0.142815869790604	0.101391842122697	0.493282547352731	0.259543055770606	0.303051836363754	0.284445521076277	0.0375208867720812	0.374490497119801	2.15133543479908	2.46199315462408	0.0556463986244428	1.47217680068779	0.000225449976150137	106.893403881987	232.572289014275	1547.97618606015	-279.267536643762	-1837.4718907352
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.141536851365916	0.10074583774241	0.491937309637884	0.258733022861015	0.302028409004848	0.284237026208696	0.037305797785916	0.373990727538867	2.15600929354998	2.45377759169675	0.0548167982343053	1.46935108828509	0.000224703515347805	107.253964656748	232.545136318243	1553.49149535834	NaN	NaN
HPD95.lower	-2883.77432764402	-2133.86830115514	-767.2827131361	0.101212174776547	0.0650983029465436	0.428671778417729	0.201281163419747	0.263746199872962	0.250712200803064	0.0235931022885059	0.334519114534606	0.703523590702764	1.85225419371549	0.0153552955103712	1.44051950677243	0.000165648124197045	74.1444782440833	163.473721996787	1231.21830270104	-282.551603126147	-1853.89372025654
HPD95.upper	-2806.14686784726	-2103.21885444644	-691.676578306449	0.19584977764717	0.142059692419884	0.562624201649022	0.316571587081648	0.34191753834845	0.319003318056089	0.0510025917388441	0.410504121797916	4.52343452796473	3.19659569310002	0.118960986455158	1.49232235224482	0.000284359837940569	148.45046777733	311.412980325095	1979.16060944821	-277.072126570144	-1823.73294560739
ACT	94351.8083825191	38830.5681071077	112400.946990548	26657.4236545486	27487.3638621487	28818.8137000684	27675.8155174492	25000	25000	25000	25000	27523.3673377605	25000	26768.159293099	26768.1592930925	82967.179471541	89367.0131623617	79322.1160589695	106799.264680982	27349.8411753129	40049.4238259063
ESS	477.203360188504	1159.52462698475	400.574916898042	1689.02293723037	1638.02539326084	1562.3474466575	1626.87166243077	1801	1801	1801	1801	1635.88268279326	1801	1682.03571665115	1682.03571665156	542.684472182693	503.821246864307	567.62227531257	421.585299622553	1646.26184522934	1124.23589901623
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
