trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	sim_0.treeLikelihood	sim_1.treeLikelihood	sim_2.treeLikelihood
mean	-13457.0241120111	-12541.0102091343	-916.013902876896	0.0405927011124423	0.289779229328362	0.519270419138499	0.150357650420692	0.423759915719344	0.184762789364369	0.224457469834603	0.167019825081686	0.253599927725603	0.291905821830874	0.442292625819573	0.0122016246239479	3.08534276951236	1.73879433670193	2.75370841017186	1.9733457309463	0.295177040596051	0.736112208128809	0.00111053782972588	460.082955302245	507.920109571756	4418.40723614859	-6938.00007670303	-2083.25451317248	-3519.75561925873
stderr.of.mean	0.857921387836969	0.199861394036879	0.804260489175615	8.05361158797559e-05	0.000243742454815609	0.000300502505597133	0.00019176151810288	0.000529432997364384	0.0004147691616889	0.000432421525086433	0.000399376348967972	0.000340820290737294	0.000467162483769777	0.00042956652244922	7.47311299003814e-05	0.00457388430108182	0.00474466200847999	0.00621190781385749	0.000769446750408051	0.000416387159168421	0.000666815175273405	5.91038305200834e-06	3.17701831749127	2.9826564177646	24.8599335610591	0.187684859548099	0.100420028251078	0.121090705166561
stdev	13.3331642161521	8.47939951270281	10.1264362396805	0.00324174886670367	0.0103411149639389	0.0125862937327483	0.0072304554128965	0.0224619362908675	0.0169531312844905	0.0183436729677267	0.0167148300009554	0.014453376366181	0.0198200225527274	0.0182249612471794	0.00306769278755702	0.194053446392933	0.201298929773406	0.263548887685926	0.0319907121843388	0.0175259832831993	0.0282905675682059	7.94609091933793e-05	53.4352349604775	46.3222178243652	317.160829207014	7.34904625136871	4.07395362965371	5.13744273290076
variance	177.77326801488	71.9002160960247	102.544710916315	1.05089357147745e-05	0.000106938658697401	0.000158414789927019	5.22794854778843e-05	0.000504538581934993	0.000287408660349171	0.000336490337946907	0.000279385541960839	0.00020890008838248	0.000392833293990623	0.000332149212461189	9.41073903882934e-06	0.0376567400569747	0.0405212591279187	0.0694580162004886	0.0010234056660612	0.000307160090042982	0.000800356213331225	6.31403608983847e-09	2855.32433528144	2145.74786416794	100590.991583281	54.0084808047564	16.5970981765686	26.3933178338348
median	-13456.2019064399	-12540.8208690695	-915.28638991408	0.040549576983711	0.289802850577951	0.519101091103122	0.150310899321396	0.423597128721873	0.18459669052425	0.223965569664266	0.166519392684026	0.253353533500993	0.291667401037992	0.442235599368248	0.0119592947290878	3.07596783658691	1.72805819633531	2.74318669570657	1.97367317595291	0.295364320940262	0.736141461371292	0.00111343466799439	456.586412767637	504.922741403426	4384.3886516213	-6937.6557743193	-2083.08521265131	-3519.59763210898
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.0404630307877171	0.289594290682112	0.519117907576164	0.150184230007222	0.423162893887425	0.183985230499984	0.223706073070772	0.166180316510658	0.253188105505664	0.291232251049643	0.441916884231958	0.0118190338477106	3.0792654921935	1.72726106364616	2.74121570460737	1.97308630901927	0.294656064052702	0.735568560873444	0.00110767312300009	457.035558732048	505.840603774171	4407.21219825293	NaN	NaN	NaN
HPD95.lower	-13482.7919944285	-12557.9408633861	-936.925948016191	0.0346929639919583	0.269222656213351	0.496269024205831	0.136090619049605	0.380322036313402	0.151598967747809	0.18801807312482	0.135799527376134	0.225696342186357	0.25537212599348	0.409184391582631	0.00662847272068683	2.70606025712624	1.34619238507983	2.26196966448221	1.90435591247969	0.260814058199652	0.679087667122721	0.000946509415454929	360.358749494218	424.182454258551	3819.51041721313	-6951.90950643888	-2091.13511198818	-3530.17523297335
HPD95.upper	-13431.9040284088	-12524.9210364361	-897.57161838299	0.04693618722403	0.308967167456364	0.545151920649505	0.164523693226264	0.468138009668477	0.215884349676804	0.258196243184428	0.200301791530169	0.281755285966249	0.331629918218846	0.479441285527039	0.0182450289084279	3.45440719745386	2.11789380229883	3.26179653308416	2.02818431039687	0.32751180064954	0.788298201749421	0.0012536087975435	563.306644809384	599.714052894874	5033.35186711323	-6923.02227717838	-2075.57791405364	-3510.11434733165
ACT	149049.62931307	20000	227081.925971906	22219.024729615	20000	20521.2039195986	25321.7653735567	20000	21548.4201156818	20005.2681343388	20552.4274434568	20017.720827916	20000	20000	21363.9588836245	20000	20000	20000	20826.2793437547	20320.3992427334	20000	199171.210860895	127258.370402637	149255.428157517	221178.650918279	23480.0428347155	21873.1273836865	20000
