trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6078.21523840982	-5481.10122897905	-597.114009430767	0.478714501684023	0.241533530640159	0.103341583392455	0.176410384283363	0.306370268631835	0.419369700422351	0.0949807383823631	0.179279292563455	0.319971532051044	0.378722780435395	0.081980881137626	0.219324806375936	7.13613006694567	9.87288647371342	10.6951156288899	0.669215051562029	0.946346477280239	1.3828633047366	0.00231441110643784	36.5805436494215	55.5435266923785	549.187434319555	-1438.80083848077	-1784.93749668867	-2257.36289380962
stderr.of.mean	0.361384684143571	0.227161719265594	0.382958455337813	0.000737235293527478	0.000551902048991913	0.000334532289762748	0.000447559978066788	0.000551951248338408	0.00057236917537272	0.000310036798713344	0.000387076467401783	0.000536491366409715	0.000525908695397145	0.000236566487900535	0.000403790276493362	0.0290462239187364	0.03838278254998	0.0344443816317235	0.0011177349590886	0.00128151349583916	0.00138491226768219	4.43526918550245e-06	0.139387978302465	0.0551742829599576	0.908717250342966	0.118125645335543	0.151036037971416	0.180078147456559
stdev	12.1950603745391	9.54059842485785	10.7599363541254	0.027354550116286	0.0230171875287046	0.0136125383914524	0.0181565623541439	0.0234173046212857	0.0242835637674277	0.0124178879961292	0.0164222611619519	0.0221853865453457	0.0221925919135325	0.0100366645188889	0.0166030734015916	1.20473470352858	1.58416144867946	1.43830011831912	0.0474214708303193	0.054370004594962	0.0587568422821751	0.000141656801208747	4.46486179472115	2.20750486415609	25.8343355822857	5.00363448248115	6.40791541031216	7.38717751130541
variance	148.719497538654	91.0230183044002	115.77623034483	0.000748271412064402	0.000529790921731554	0.000185301201458766	0.000329660756519915	0.000548370155726089	0.000589691469246729	0.00015420394228441	0.000269690661671353	0.000492191376166404	0.000492511135840587	0.000100734634664723	0.000275662046378639	1.45138570588611	2.50956749548221	2.06870723035679	0.00224879589571083	0.00295609739965619	0.0034523665149724	2.00666493286944e-08	19.9349908459606	4.8730777252728	667.412894978153	25.0363580342744	41.0613799057161	54.5703915835364
median	-6077.22702212752	-5480.72825302252	-597.279751568249	0.478327681189892	0.241433362807882	0.102581527986536	0.176070818109016	0.306386536182607	0.419329432232103	0.0946474785338908	0.178968385772215	0.319577478148102	0.378273736178668	0.0818079221845101	0.218963656476973	7.00606158296738	9.72948515105775	10.6061248320182	0.669101588530789	0.945515813182711	1.38211958648546	0.0023136853460166	36.1481598049067	55.3674516126087	547.723602511412	-1438.70578627288	-1784.73960132116	-2256.84758227927
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.477930635671476	0.240434398514386	0.102452340313668	0.175467521966676	0.305472217346179	0.418663491979576	0.0941737589003849	0.178525467081025	0.319197783850662	0.3780700129648	0.0813661454182629	0.218696045449465	7.0376694867458	9.74935300319191	10.5999966140572	0.667538362979029	0.944783889532219	1.38161353594224	0.00231006189934027	36.3139392092715	55.5001926983105	548.584846177028	NaN	NaN	NaN
HPD95.lower	-6101.60619100749	-5500.22384011131	-617.812854985296	0.424440929194233	0.194765431620314	0.0775028728789779	0.144571279252759	0.261927775599232	0.372825899357584	0.0734360210610022	0.146771933447774	0.273324319355675	0.334758260841006	0.0626826739203765	0.186502635704007	5.06176974175191	6.80440721941848	8.24013915709494	0.578423659534377	0.83855327994145	1.27430604949211	0.00201943655404158	28.4143205917977	51.3827338096644	501.954404944021	-1448.301136751	-1798.38060212204	-2271.20330599949
HPD95.upper	-6053.64014368183	-5463.26979175244	-575.342417953852	0.530688925024685	0.284801042550962	0.129499279619256	0.215562125629241	0.350163393879771	0.466392716105509	0.120340521753282	0.210937492545753	0.359342568764149	0.420536289372128	0.101648391945016	0.251138152461866	9.75417275239086	12.8463774082971	13.8065957254693	0.76430161763917	1.04573584667967	1.50400857048436	0.00257233604471052	45.6294975583005	59.542473303791	601.301169258101	-1428.86914228673	-1773.40507376421	-2242.8756282051
ACT	39516.9989840016	25511.2325216491	57002.8146243926	32686.2774226604	25872.1118707906	27177.5454570659	27343.091551434	25000	25000	28050.679807017	25000	26315.029092519	25270.6858142694	25000	26616.2653307829	26158.2628968926	26417.177258737	25807.749355829	25000	25000	25000	44114.1062435057	43857.8135899171	28111.3975497489	55676.9365093243	25080.1202477886	25000	26740.9811598606
ESS	1139.38307962678	1764.90884796692	789.873277252751	1377.48937934381	1740.29086704873	1656.69854443363	1646.66822386581	1801	1801	1605.13043925363	1801	1710.99943844638	1781.70866952001	1801	1691.63477446727	1721.25344016436	1704.38346076921	1744.63101680079	1801	1801	1801	1020.64858237105	1026.61296390642	1601.66352171994	808.683142838859	1795.24657597964	1801	1683.74524969131
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
