trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6079.29015098804	-5480.60130506688	-598.688845921162	0.478447094830474	0.242343172942622	0.103082811845718	0.176126920381187	0.307143829268478	0.41975860737144	0.0942021066064551	0.178895456753625	0.319918864634741	0.379437265127468	0.0816612431734157	0.218982627064374	7.20134378982162	9.83310359490304	10.7581236063178	0.671052238248175	0.94499600341412	1.3823853404246	0.00230120178564451	36.8771786418314	55.6658958927438	552.712253890267	-1438.36354129371	-1785.00037531321	-2257.23738845996
stderr.of.mean	0.370993681886027	0.239323714997491	0.398607084169507	0.000599205445222258	0.000559061670804298	0.000307937539210774	0.000464730928635874	0.000600891407454714	0.000548226643491899	0.000304727450368032	0.000428346967437404	0.000521410672748585	0.000564664216434856	0.000233731310229542	0.000395910582228504	0.0275652564385938	0.0360459468841352	0.0373201839848393	0.00108035984054183	0.00129614166468644	0.00138843978861043	4.81815175175072e-06	0.142004473297769	0.0634668300592634	1.02738748739438	0.132473188550398	0.153275920758215	0.187880532652455
stdev	12.0360774819051	9.31431088308038	10.7273488597076	0.0254221300952647	0.0218109752486617	0.0130646813133152	0.0190137164963093	0.0230249931688565	0.0232592830450193	0.0120637462399182	0.0163527301671528	0.0221215779351893	0.0225543420710573	0.00991637813602994	0.0164695645345522	1.16949460469495	1.52929977256062	1.50082821665217	0.0458357790887004	0.0524566103549966	0.0573399617784494	0.000140084904781352	4.48255178721949	2.2895377538152	26.0415944183974	5.06078768725479	6.50294557410352	7.43195843286011
variance	144.867161150424	86.7563872266696	115.07601355787	0.000646284698580561	0.000475718641297732	0.000170685897818488	0.000361521415002023	0.000530150310425889	0.000540994247768323	0.000145533973341141	0.000267411783919711	0.000489364210342653	0.000508698346258266	9.83345553367326e-05	0.000271246555957781	1.36771763041059	2.33875779435396	2.25248533589934	0.00210091864466815	0.00275169596993593	0.00328787121675404	1.96237805476004e-08	20.0932705251047	5.24198312614516	678.164639852304	25.6115720154697	42.2883011397526	55.2340061477605
median	-6078.82527726176	-5480.3883383055	-598.655470682346	0.477934339496351	0.241643173918953	0.102820936256811	0.175355583046724	0.306543864423552	0.41885840484183	0.0934870584539024	0.178131008792185	0.319734784381701	0.379127193334453	0.0812673583440768	0.218602921132583	7.11767755905574	9.68898997185808	10.621185144475	0.670514172899171	0.945399263764463	1.38279797262375	0.00230247024140685	36.602715000118	55.5795369003041	552.155362307202	-1438.3920792934	-1784.58518159217	-2256.78185521723
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.477770686045372	0.241365316776364	0.102247424206814	0.175101190915124	0.306282325058603	0.419112286056127	0.0934339046091124	0.178147985371924	0.319152118641277	0.378766757676945	0.0810620394283185	0.218364759729705	7.1081582000465	9.71710745201349	10.6557384746619	0.669488642553149	0.94354286669268	1.38119574649254	0.00229693742974288	36.6081652351866	55.6193291488117	552.100795727167	NaN	NaN	NaN
HPD95.lower	-6101.84683221965	-5497.28718535162	-619.027460394963	0.430175746485698	0.20326098912044	0.0791258469583076	0.139292994050757	0.262866736003463	0.376695326147507	0.0707007774491969	0.148565332196427	0.275621587690564	0.335180702463973	0.0620858371186996	0.186980729357066	5.15212541319954	7.06464502574332	8.14714070223021	0.576176882233765	0.849243974376403	1.27208505901713	0.00203967011134556	28.4631698675856	51.2266279803066	505.826693143961	-1449.15343435999	-1798.93444261226	-2272.06848980248
HPD95.upper	-6055.90057794155	-5462.38778491251	-577.556580302309	0.528932044702389	0.286155956141104	0.129920587977494	0.214269959175444	0.35023680777442	0.466274330585967	0.11705719696235	0.21157681753397	0.362743091359238	0.423648251249667	0.100365647626118	0.252297862375312	9.57518528925586	12.8987445794911	13.7743666677762	0.754541729670568	1.05886062569936	1.49773063517421	0.00258247074361678	45.856912565745	59.8744456404087	606.44358057444	-1429.13062079166	-1773.52830448808	-2243.3262026636
ACT	42753.8724385171	29708.6141101888	62132.3237738618	25000	29565.2561563972	25000	26883.2335193183	30648.2264095258	25000	28712.509318015	30876.1563671666	25000	28205.4210645947	25000	26004.1323234513	25000	25000	27825.1785379043	25000	27473.6824725538	26384.6709932804	53234.1899498752	45161.2338787257	34578.8364809236	70039.9427589272	30834.1601053145	25000	28758.7099915414
ESS	1053.12097903527	1515.55369876908	724.663062078187	1801	1522.90241497731	1801	1674.8357286576	1469.08990420424	1801	1568.13183763601	1458.24497921895	1801	1596.32433413726	1801	1731.45557944247	1801	1801	1618.13876373391	1801	1638.84109984091	1706.48328385322	845.791023445555	996.983388915113	1302.09702182545	642.847469978282	1460.23111530253	1801	1565.61264442122
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
