trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6078.19419776219	-5480.81100274111	-597.383195021079	0.479342466458361	0.241888811369898	0.10268399785212	0.176084724319621	0.3065033565232	0.419637398106053	0.0945658426580951	0.179293402712653	0.32081739360714	0.378165519122297	0.0821692522668538	0.21884783500371	7.19320779601328	9.91035849379628	10.7168419288195	0.670698426088103	0.944005157985182	1.3837283131938	0.00231679742895498	36.4948115345255	55.5423583559927	549.690961688152	-1438.54241675038	-1784.75525504613	-2257.51333094459
stderr.of.mean	0.363455932358274	0.21771595387623	0.404355746870485	0.000715147271143956	0.000580395413017832	0.000308337246579716	0.000475698261923152	0.000561443065874123	0.00059104545213965	0.000284114189307387	0.000387174680759873	0.000510482435739529	0.000506353317824783	0.000232811586890339	0.00038164389000487	0.027519018059891	0.0370273762709655	0.0343248886737927	0.00111399880141161	0.00130387683061911	0.00135714550506603	4.8921366257618e-06	0.13319623543776	0.0565081643921005	0.995192823072731	0.117414755018041	0.161491550656989	0.178112844101716
stdev	11.5798020683732	9.23690421605428	10.7723394802064	0.0263208569015925	0.0223029049222677	0.0130816394581623	0.0191259104691497	0.0234151951394423	0.0246793101121916	0.0120539423332576	0.0163460056699948	0.0216579321770086	0.021482748567373	0.00972028970313753	0.0161917764585199	1.16511843250959	1.51874486531976	1.45628146794788	0.0472629591090419	0.0536191521332162	0.0575787984957231	0.00014320057935604	4.46782809615988	2.21204235652449	25.776603786194	4.98148540032891	6.62517762763889	7.32335917142208
variance	134.0918159427	85.3203994965613	116.043297876814	0.000692787508034111	0.000497419567971712	0.00017112929091335	0.00036580045127393	0.000548271363418164	0.000609068347613722	0.000145297525773499	0.000267191901363502	0.000469066026183903	0.000461508486008965	9.44840319129215e-05	0.000262173624882678	1.35750096177359	2.30658596593514	2.12075571388844	0.00223378730374296	0.00287501347548499	0.00331531803621108	2.05064059279055e-08	19.9614878968356	4.89313138705842	664.433302750431	24.8151967936901	43.8929785977668	53.6315895536519
median	-6077.80597317846	-5480.17953754653	-597.231328128443	0.478943804306324	0.240767958321894	0.10244186832401	0.174691540577936	0.305565659379945	0.420301467955647	0.0938207951682544	0.179035943980956	0.32076513809004	0.377791976088527	0.081925264948297	0.218729018387956	7.13398153744803	9.78781335935981	10.5754231593702	0.669377451907504	0.94511987605304	1.38348927395011	0.00231152201482644	36.282104086243	55.3765945399449	549.005397700518	-1438.42272317019	-1784.46711324705	-2257.31702683086
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.478619620068271	0.240856683268267	0.101849491320102	0.175046844796412	0.305608005358596	0.418906439332893	0.0938046302444136	0.178554811342058	0.320084433135921	0.377556652813169	0.0815911640745321	0.218245165296848	7.10073902591443	9.7971531260754	10.6205800662867	0.669034900740962	0.942476910938985	1.38253322085852	0.00231238591234799	36.2251157400549	55.4988262481625	549.089456248124	NaN	NaN	NaN
HPD95.lower	-6101.87419007817	-5497.88094856108	-617.177193114794	0.432322055548949	0.200516400523285	0.0775765329497087	0.140603579495924	0.262970526983418	0.37066287388859	0.0726090150346699	0.146596772767171	0.281009000872363	0.336731799346898	0.0627719579990462	0.186046168484564	4.91389784617024	7.08686345224345	8.21133945648194	0.58288031691018	0.832186592378397	1.275270511893	0.00205476184577953	28.3526435248833	51.2933260463614	499.151450933818	-1448.29087371637	-1797.65290565233	-2271.19227350315
HPD95.upper	-6057.35404507842	-5463.01876377125	-575.858946032102	0.532775497626238	0.287194562879042	0.128344311791824	0.214937995074311	0.353499076953046	0.467304539980859	0.118486070785563	0.208723846052434	0.36589280389542	0.421419539491657	0.100632947113698	0.249314136687755	9.38051132358052	12.890892666243	13.8389869333565	0.766524587602373	1.0441854034806	1.4968032428444	0.00261071127117487	45.2077605514	59.7657352545678	597.909867474085	-1428.85699096875	-1771.88528943742	-2243.29899469605
ACT	44331.6229851344	25000	63404.4233054376	33220.2811164192	30474.5608994888	25000	27837.5667921901	25871.8962875418	25810.0062201426	25000	25246.6051086912	25000	25000	25814.4659197108	25000	25103.7210401666	26747.8336282064	25000	25000	26610.0463751066	25000	52519.427627346	39994.7853980409	29366.2101458863	67077.2823082884	25000	26737.2622521474	26618.4147588668
