trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6078.52390496874	-5480.95082931518	-597.573075653564	0.479180861171733	0.242221282619867	0.103241392821934	0.175356463386468	0.306516432752739	0.419966243568506	0.0948888354777159	0.178628488201037	0.321804498754859	0.378658294211193	0.081648021857966	0.217889185175979	7.1757024000485	9.88272401329852	10.6770677346716	0.672496138168081	0.945787317210075	1.38015700242265	0.00231063283361884	36.6299051868236	55.6726364818466	550.635544200699	-1438.51469624318	-1784.8809744279	-2257.5551586441
stderr.of.mean	0.401551133053217	0.238185955021851	0.426566511490353	0.000591968402708131	0.00050476712114199	0.000310590862915826	0.000441472408289247	0.000582029720138292	0.000573111800086893	0.000290675290858872	0.000395045738507523	0.000530698523154344	0.000554148689923689	0.000232920000016576	0.000388300621184147	0.0279119834122338	0.03621852086779	0.0339451580487097	0.00114425661124885	0.00130703208183375	0.00138469165083309	5.00176373872859e-06	0.150424501567926	0.0648632985186483	1.10601919269768	0.13014036780927	0.163993339455829	0.186929439367307
stdev	12.0874414425166	9.37686206050545	11.1711930974262	0.0250952659593724	0.0214154519519163	0.013040523471671	0.0187300851260391	0.0246934259069989	0.0243150706608417	0.0121526627695741	0.0167603686481738	0.0225156279946526	0.0221751357558656	0.00980893885491835	0.0164741976003805	1.16235888790261	1.53662146547665	1.44017086443286	0.0485466890621213	0.0542027085356001	0.0587474823034166	0.000143527945630835	4.61284546269273	2.24690664296707	27.171078466484	5.16438697159229	6.42971500452259	7.30266188984241
variance	146.106240626267	87.9255421017465	124.795555219983	0.000629772373571634	0.000458621582304836	0.000170055252415203	0.00035081608882867	0.000609765283024446	0.000591222661241723	0.000147687212390991	0.000280909957222687	0.000506953503993583	0.000491736645791071	9.62152814595269e-05	0.000271399186576384	1.3510781842862	2.36120552816361	2.07409211876129	0.00235678101889428	0.00293793361259522	0.00345126667699025	2.06002711770079e-08	21.2783432626849	5.04858946220953	738.267505031831	26.6708927923522	41.341235039383	53.3288706773567
median	-6077.99858261159	-5480.47506839749	-597.288745100144	0.479331445808015	0.241995119720861	0.102538039434457	0.175501174225569	0.305832421897985	0.420310969453673	0.0945699299777073	0.17752335237879	0.321819619882693	0.378299522692517	0.0815809860690074	0.21759341105804	7.08150449187004	9.70900595161478	10.5881741238539	0.670588189234419	0.946085873839479	1.3782648598787	0.00230999113466896	36.2065301246265	55.4846611980758	549.328002793421	-1438.34072110018	-1784.67725858353	-2257.16515692155
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.478522479807981	0.2412723674059	0.102416042807322	0.174345652947729	0.305519794590003	0.419259067256049	0.0941124943278659	0.177848321719116	0.321012618492918	0.378009121917501	0.0810577942898208	0.217266655901282	7.08371286253796	9.76621860235563	10.5817722868077	0.670748571088822	0.944235219170815	1.37890845036981	0.00230618483514153	36.3463308435346	55.6278205925445	549.97171098409	NaN	NaN	NaN
HPD95.lower	-6101.91815184592	-5500.72420887619	-619.093930242501	0.429199244163179	0.200492651661125	0.0783236182057514	0.13745757570352	0.258666117151407	0.373203684720773	0.0704015065766927	0.147621743604336	0.27951070284591	0.336901707131391	0.0634170676355208	0.18544927798694	5.09004531888618	6.92881063155725	8.00819220268641	0.574842446670213	0.840838311036139	1.2595443731873	0.00204329774676911	28.2473563001914	51.4367224517163	497.296562465438	-1449.10366867994	-1797.16875374551	-2271.85909812052
HPD95.upper	-6055.55217420851	-5464.23919324756	-574.614731690545	0.528263269245304	0.283117527721925	0.12859575249316	0.209726931367488	0.355570811082497	0.468838957262577	0.116901924768026	0.213479411571507	0.365106400278681	0.421443970217555	0.100868408754453	0.249091548693909	9.53023025727272	12.9369994166805	13.5934105131156	0.762211500925528	1.0479782326359	1.48799605963857	0.00260016013012982	45.8323671425473	59.847710614311	602.175524017821	-1429.13573189713	-1772.14339783707	-2243.54964588642
ACT	49662.1279826402	29035.5210062723	65612.5288355456	25039.5100451117	25000	25526.9942223952	25000	25000	25000	25744.5744770874	25000	25000	28101.6892431216	25373.5882472913	25000	25948.5619688246	25000	25000	25000	26166.3349968169	25000	54649.4492850165	47853.2822502464	37500.7871496677	74563.0995439135	28575.8321145553	29273.9517260732	29485.2897372803
ESS	906.626474317388	1550.68682908337	686.225646215418	1798.15818755567	1801	1763.81910097739	1801	1801	1801	1748.91218497599	1801	1801	1602.21684933124	1774.48296083257	1801	1735.16359226744	1801	1801	1801	1720.72244758302	1801	823.887533892217	940.896797100437	1200.64146441254	603.85097019046	1575.63215725453	1538.05678240215	1527.03264581022
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
