trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6077.97478730614	-5480.74892724728	-597.225860058857	0.478896699044667	0.242189588206459	0.103805358567497	0.175108354181373	0.305798799220122	0.420258813664424	0.094520399048934	0.179421988066516	0.320295064742752	0.379756731230164	0.0816610021693238	0.218287201857755	7.12737013432873	9.86748582612016	10.7586798004127	0.672357003062264	0.944804809274221	1.3812779829162	0.0023132545628716	36.536044479508	55.6294396784182	549.870362414731	-1438.569256706	-1784.69698079658	-2257.48268974471
stderr.of.mean	0.362815897793749	0.256211288122268	0.384348717485527	0.000605136894114182	0.0005160191500371	0.000312841092635158	0.000463334229995928	0.000555808901557208	0.000588179093058615	0.000305036137319338	0.000396156791035451	0.000519930964256194	0.000519719919826783	0.000236213744712586	0.000373383958302507	0.0274000891730669	0.0379670977645934	0.0375029022513099	0.00110419252067719	0.00129872841989539	0.00139321679315711	4.56618766667841e-06	0.129934477787624	0.0575937816194738	0.935732894066227	0.124451964334001	0.1801873236648	0.182950417487573
stdev	11.8836389980172	9.42645316937835	11.0846748688695	0.0256737801204542	0.0218928350342764	0.0132727214339078	0.0185897189454395	0.02343035131781	0.0244598532410863	0.0121854959162122	0.0168075066075046	0.0220587992303285	0.0220498453748801	0.0100216988951854	0.0158306564045346	1.16248715216729	1.60421220753191	1.48790844851737	0.0468469139169147	0.053535546645082	0.0591091734044739	0.000145666263471744	4.44291723889023	2.27482971696286	27.0231097410396	4.97523632518982	6.4289055833369	7.41443451819489
variance	141.220875835195	88.8580193544831	122.870016948548	0.00065914298567343	0.000479296225838041	0.000176165134262116	0.000345577650470433	0.000548981362876	0.000598284420575481	0.000148486310724023	0.00028249227836131	0.000486590623483939	0.000486195681056123	0.000100434448745761	0.000250609682198433	1.35137637895402	2.57349680679441	2.21387155116937	0.00219463334353882	0.00286605475458776	0.00349389438056016	2.12186603138195e-08	19.739513591628	5.17485024117733	730.248460076267	24.7529764914883	41.3308269994604	54.9738392245999
median	-6077.74511212507	-5480.1914225595	-597.104501897701	0.479339398533675	0.241140557720053	0.103780107516935	0.175108289190931	0.305728472617312	0.420539960343597	0.0941031333475025	0.178890902509433	0.320304155321833	0.379264820299763	0.0812998157618912	0.21817520910305	7.00154054034007	9.70940913146155	10.6804971185133	0.671351504687175	0.944063243288536	1.38022420619419	0.00230515769659369	36.1616693511998	55.4836981355764	548.610071942708	-1438.44920733238	-1784.32935972753	-2257.12319213225
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.478206292135564	0.241200716067015	0.102958213865902	0.17412048283554	0.304895995956819	0.419545426406283	0.0937375097640361	0.178634052141426	0.319534587027827	0.379116420646511	0.0810483722293404	0.217712172745439	7.03548448483284	9.74025880894638	10.6579784872212	0.670728343883705	0.943284473425701	1.38001183237065	0.00230868646763731	36.2700272031285	55.5833722349285	549.211648520894	NaN	NaN	NaN
HPD95.lower	-6102.78094668883	-5500.59719508809	-619.003602880183	0.424375989632778	0.202042613558169	0.0793879761395671	0.137812785767599	0.259800716165793	0.372198140964146	0.0702491610433766	0.145939854138693	0.27519215896998	0.341467961142098	0.0614185241488882	0.187856499533646	4.97915564600467	6.72488898126942	8.15588574974489	0.578517442770345	0.847691038701341	1.2641613518296	0.00202549225070172	28.4504519047369	51.5435044633382	497.942066985616	-1448.8600083636	-1797.26847189672	-2271.79338406541
HPD95.upper	-6056.76918515279	-5463.77738568757	-575.871212564674	0.52513555294896	0.287207968747889	0.130295383644028	0.209639002488722	0.350301556504814	0.466858952213314	0.117177998312924	0.211370738297398	0.362154537426757	0.427013725444192	0.100629802362026	0.249969047740135	9.46005616940102	12.8654282176127	13.6639102992196	0.761085965955074	1.05373288429381	1.49562249156667	0.00258863069120288	45.5029747861007	60.3610588379517	602.360565864279	-1429.28576320783	-1771.68230441751	-2243.15864523957
ACT	41945.5696109583	33243.9232495998	54102.5000390204	25000	25000	25000	27954.7430109216	25322.4530498237	26020.9922031836	28198.6650179739	25000	25000	25000	25000	25033.7461942079	25000	25205.9776712676	28588.3911871513	25000	26482.8417325788	25000	44218.2888961323	38487.9467923647	28844.6839287494	53956.7177471606	28157.1349336966	35349.7831414968	27398.2687587607
ESS	1073.4149140804	1354.38286455983	832.216625248862	1801	1801	1801	1610.6390240257	1778.06628415542	1730.33371089098	1596.70679343511	1801	1801	1801	1801	1798.57220132789	1801	1786.2826265741	1574.93997144673	1801	1700.15742474535	1801	1018.24383358123	1169.84676379079	1560.94620801595	834.465139465778	1599.06184013477	1273.6994685307	1643.35200871416
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
chain.length	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07	5e+07
log.every	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
