trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6077.82831312254	-5480.80308721537	-597.025225907168	0.47987448056534	0.241364951199273	0.103171799250215	0.175588768985173	0.306403094948102	0.419468756476367	0.0950561525104812	0.179071996065051	0.319996596018543	0.3796270101407	0.0818047799882348	0.218571613852526	7.16295936257151	9.81682762093863	10.7358478299183	0.671691072716135	0.945612061833551	1.38113348960612	0.00231700949246654	36.4999974776675	55.5653159629558	549.044290623832	-1438.4400455385	-1784.82662245635	-2257.53641922051
stderr.of.mean	0.338791565335652	0.234161671315812	0.345760349992782	0.000617018954075205	0.000515551750901723	0.000317450204710318	0.000432340690965479	0.000568126864842339	0.0005770289096775	0.000296449586708762	0.000462798932831318	0.000546459240007732	0.000556210886748182	0.000274540500170225	0.000412972081938893	0.0288012014291661	0.0382890179987501	0.0353546606670359	0.00118469835845369	0.00128372823216656	0.00136091847534284	4.55187026399708e-06	0.122236382617035	0.0594372630010566	0.868354432269741	0.129015317167431	0.150615417062684	0.169190381056999
stdev	11.8867339021234	9.05371249527729	10.5321682718365	0.0259477587192283	0.0218730049714479	0.0130302586470843	0.0180229828569592	0.023807897604725	0.0236141751981132	0.0125772888415628	0.0164478558328117	0.0226595409414978	0.0225049396293054	0.00972039609788134	0.016582033046831	1.14844414079993	1.53920094409526	1.49997098677556	0.0476218758944511	0.0544639678850002	0.0577388720430969	0.000142112050771562	4.4344398333659	2.31197408025155	25.6670335152491	4.93456043987755	6.31634610856398	7.17813883767868
variance	141.294442859889	81.9697099471401	110.92656850628	0.000673286182551286	0.000478428346480983	0.000169787640409914	0.000324827911062246	0.000566815988357069	0.000557629270287187	0.000158188194604101	0.000270531961496957	0.000513454795679416	0.000506472307718681	9.44861002997067e-05	0.000274963819966197	1.31892394453769	2.36913954630374	2.24991296116846	0.0022678430637065	0.00296632379777834	0.00333377734480911	2.01958349744989e-08	19.6642566357422	5.34522414775499	658.79660947292	24.3498867348045	39.8962281631713	51.525677172991
median	-6077.12419360961	-5480.57855214444	-597.05147364311	0.479180530800898	0.240437251014989	0.102575452508057	0.174865184194276	0.306266887758241	0.419364489174986	0.0944189077794638	0.178907078411104	0.320055433910085	0.379825875503792	0.0813280032547055	0.218482998266049	7.08707229487339	9.67326614136537	10.6112286620245	0.670734070556944	0.94480269984117	1.38182121832729	0.00231215919566308	36.1781400758975	55.4201577100769	548.223782630081	-1438.26667969024	-1784.64836056431	-2257.0639437596
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.479170821906416	0.240371008835338	0.102354201891289	0.17466461394606	0.305477503555956	0.418805169577304	0.0942245830655947	0.178315881043665	0.31919269169064	0.378957539639231	0.0812249158385248	0.21794015595471	7.07237064595739	9.69965051334414	10.6335171899585	0.670003353378614	0.944042311742443	1.37992797924881	0.00231266164970102	36.2346638140336	55.5178129128205	548.447691595802	NaN	NaN	NaN
HPD95.lower	-6101.41818497799	-5500.29032743453	-617.354487612825	0.4276342157996	0.199474076129015	0.0776938067509285	0.141656034762812	0.25916489722223	0.373420509771714	0.071264618443347	0.147942602666769	0.276143104420191	0.339226809203167	0.0637475547275827	0.187365039842101	5.11027131943623	6.99653143815129	8.1618005587007	0.57952288170751	0.850157217277393	1.26931288954057	0.00204985428734131	27.7927955489719	51.5519859913659	498.631413997921	-1447.93217199946	-1797.27795981081	-2272.43734360482
HPD95.upper	-6056.03868932019	-5465.21660789698	-576.571304241935	0.528726730830274	0.284489202674821	0.129083489394368	0.211642213953345	0.35127525971008	0.464794930977495	0.119743938266264	0.20901371315488	0.365214610689412	0.428540544822884	0.100924397200238	0.252718196475206	9.53661900771493	12.7729414759901	13.9532615655856	0.767570642996265	1.05998632844544	1.496492887188	0.00259450604298611	44.9255109464694	60.2928191396193	598.024443819725	-1429.02273185634	-1772.76573991446	-2244.41370873809
ACT	36555.4788617918	30101.6706554603	48498.3741518752	25445.4237919632	25000	26708.9939561087	25894.7227296645	25624.8268758445	26869.647077472	25000	35626.9378384996	26171.3251295919	27487.5255076997	35896.9289971607	27911.1810164419	28301.7855601036	27846.4728724085	25000	27849.3430789289	25000	25000	46166.8578653912	34192.8912198095	29741.5818357817	51505.6740445136	30760.8252904548	25587.0017165261	25000
ESS	1231.6895141828	1495.76415592843	928.38163726895	1769.47337832199	1801	1685.76173531621	1738.77127282078	1757.08504171177	1675.68259717672	1801	1263.79090462679	1720.39435439554	1638.01576054519	1254.28556865021	1613.15280687968	1590.88902374664	1616.90136507783	1801	1616.73472413309	1801	1801	975.266719066728	1316.79417544881	1513.87374917063	874.175531827567	1463.71235410161	1759.68253329656	1801
n.samples	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801	1801
