trace	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
mean	-6077.77222059534	-5480.43125427744	-597.340966317899	0.479055440465655	0.241528066550723	0.103479710035053	0.17593678294857	0.306641007555087	0.419764169555839	0.0945574049039332	0.179037417985142	0.320371388014494	0.379253349478327	0.0818052536359646	0.218570008871214	7.15897485518384	9.89505303885188	10.7696222677855	0.671587007365432	0.94322372196557	1.38362539927549	0.00231112655619918	36.5273558423165	55.5652474123228	549.660055871001	-1438.64030899833	-1784.71504786213	-2257.07589741699
stderr.of.mean	0.432364088869088	0.226094378359462	0.448203724333112	0.000600755897297359	0.000515303672442945	0.00031432734274602	0.000424257753142469	0.000562249623368204	0.000555165536694056	0.000291727919492186	0.000369298103676699	0.000527912330293714	0.000526426090031495	0.000238161669685165	0.000422297024053586	0.0283957504289826	0.0362170141296804	0.0350552293060609	0.00114852987793159	0.00126890348993669	0.00138422147825575	4.92141977585192e-06	0.153521290496325	0.0601490328252912	1.07865374771101	0.11927404126878	0.147832870366956	0.179718603197713
stdev	12.442564853811	9.15944032040256	11.3464861257961	0.0254879101956859	0.021862479895444	0.0133357776760927	0.0179554277839083	0.0238542276029856	0.0230863591379729	0.0116710346949344	0.0156679891854475	0.021957015093559	0.0220143257497134	0.010104342339873	0.0164491593032348	1.18941510918475	1.53655754000243	1.48726719198531	0.0481703090137807	0.0538350074364573	0.0587275345734295	0.000142373768521637	4.59880360460153	2.1980664274485	27.1083535721489	5.06036822311952	6.2720165392208	7.06272100611015
variance	154.817420141293	83.8953469830161	128.742747402884	0.000649633566143352	0.000477968027178693	0.000177842966226172	0.000322397386903148	0.000569024174535038	0.000532979978247467	0.000136213050850363	0.000245485885115298	0.00048211051181878	0.000484630538214496	0.00010209773412135	0.000270574841783197	1.41470830195698	2.36100907373831	2.21196370035586	0.00232037867048312	0.00289820802568341	0.00344892331707335	2.02702899630526e-08	21.148994593696	4.83149601947619	734.86283339264	25.6073265535578	39.3381914682592	49.8820280101495
median	-6077.6120300676	-5480.17842376827	-596.820710067971	0.479378591561302	0.240158165763984	0.103184558624947	0.17566107111309	0.307192649633921	0.419127295350324	0.0943205686496092	0.178455311168639	0.320569966267077	0.378484167169248	0.0814638061778282	0.218005403668525	7.06214459488609	9.77266992385584	10.6335697178568	0.671572178619407	0.942153411774296	1.38503077671731	0.00230921669073436	36.1612588831859	55.3475603389358	547.913693892329	-1438.39547044802	-1784.46744575273	-2256.70196071327
mode	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
geometric.mean	NaN	NaN	NaN	0.478375663273393	0.240540961777282	0.102623782872251	0.175016329932972	0.305708033867751	0.419129229005589	0.0938309680576625	0.178350485431568	0.319616705992902	0.378612479038517	0.0811810284109471	0.217949764439312	7.06279761703326	9.77946631136548	10.6696679491778	0.669857238961922	0.941684814144126	1.38237396640304	0.00230673971290226	36.2437087065286	55.5221473177216	548.996558001892	NaN	NaN	NaN
HPD95.lower	-6102.04285760639	-5498.28820409008	-621.530771235215	0.426586501296347	0.200894065853283	0.079581442402115	0.141750954021989	0.263301401680167	0.371085526584426	0.0733094971045091	0.150425262818726	0.273804638036511	0.332419046638409	0.0632285155358132	0.184860073711835	4.8928694752695	7.22587664971	8.00554981711442	0.576037073288945	0.840052731608869	1.26766283628763	0.00202726822661941	27.8879330741486	51.5865322007107	501.05107168694	-1448.52200713859	-1796.93928268253	-2270.76682835668
HPD95.upper	-6054.08521705014	-5462.93557469371	-576.801059801523	0.525938995560754	0.28646266589167	0.129670568251614	0.211594468192361	0.357264358781602	0.460183023342812	0.11852599741988	0.210904180621293	0.359100388983702	0.419925348210702	0.101499249049709	0.250217185451292	9.38490360698581	13.0402233727966	13.7530582430138	0.765259774807197	1.04738591638627	1.49444016119954	0.00257677275511093	45.338426041529	59.6647879561772	605.816932723581	-1428.70355959162	-1772.75223485441	-2243.33179628523
ACT	54336.5154671457	27419.1529018053	70216.7184174861	25000	25000	25000	25123.5173691871	25000	26022.3480737562	28115.7484512739	25000	26012.9370824133	25732.1700546516	25000	29659.3076201869	25647.9216670076	25000	25000	25582.2129622866	25000	25000	53769.1583617776	50148.7229835711	33696.7526904352	71247.5951926159	25000	25000	29137.6382331591
ESS	828.632451177775	1642.10032896514	641.229055056315	1801	1801	1801	1792.14555582974	1801	1730.24355344045	1601.41566489083	1801	1730.86952301285	1749.75526371748	1801	1518.07319903027	1755.50286625829	1801	1801	1760.01192963158	1801	1801	837.375948811699	897.829442531375	1336.18216608689	631.951153976161	1801	1801	1545.25221432535
